ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lanzar hechizos.
Equipment/&Enchanted_Javelin_Souldrinker_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Una de las favoritas de los agentes de Silent Whisper, esta arma fue diseñada por Cylordir Redblade.
Equipment/&Enchanted_Javelin_Souldrinker_Title	Jabalina bebealmas
Equipment/&Enchanted_LeatherDruid_Deflection_Description	Esta armadura encantada fue creada usando el antiguo conocimiento de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_LeatherDruid_Deflection_Title	Cuero de druida de desviación
Equipment/&Enchanted_LeatherDruid_FlameDancing_Description	Esta armadura encantada fue creada usando el antiguo conocimiento de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_LeatherDruid_FlameDancing_Title	Cuero de druida de baile de llamas
Equipment/&Enchanted_LeatherDruid_FrostWalking_Description	Esta armadura encantada fue creada usando el antiguo conocimiento de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_LeatherDruid_FrostWalking_Title	Druida Cuero de Escarcha Caminando
Equipment/&Enchanted_LeatherDruid_Robustness_Description	Esta armadura encantada fue creada usando el antiguo conocimiento de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_LeatherDruid_Robustness_Title	Cuero de robustez de druida
Equipment/&Enchanted_LeatherDruid_Sturdiness_Description	Esta armadura encantada fue creada usando el antiguo conocimiento de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_LeatherDruid_Sturdiness_Title	Cuero de robustez de druida
Equipment/&Enchanted_LeatherDruid_Survival_Description	Esta armadura encantada fue creada usando el antiguo conocimiento de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_LeatherDruid_Survival_Title	Cuero de supervivencia de druida
Equipment/&Enchanted_LightCrossbow_Accuracy_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros arqueros de Colthannin. Su diseño original llevaba el sigilo de Defineth Sharpsight, un renombrado encantador de elfos silvanos.
Equipment/&Enchanted_LightCrossbow_Accuracy_Title	Ballesta ligera de precisión
Equipment/&Enchanted_LightCrossbow_Lightbringer_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros arqueros de Colthannin. Fue diseñado por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_LightCrossbow_Lightbringer_Title	Ballesta ligera Iluminadora
Equipment/&Enchanted_LightCrossbow_Medusa_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros arqueros de Colthannin. La magia combinó el coral de medusa y la madera dura para crear un arco mortal, el favorito de los grupos de abordaje de los medianos de la isla.
Equipment/&Enchanted_LightCrossbow_Medusa_Title	Ballesta ligera Medusa
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros arqueros de Colthannin. Coedymwarth prefería tratar con los arcanistas de Manacalon físicamente en lugar de mágicamente. Sus mejores arqueros recibieron ballestas, creación de Defineth Sharpsight.
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Title	Ballesta ligera de puntería
Equipment/&Enchanted_LightCrossbow_Stormbow_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros arqueros de Colthannin. ¡Fue diseñado por Galar Stromforge, el primer herrero enano en aprovechar el poder de la tormenta en un arma con efectos devastadores!
Equipment/&Enchanted_LightCrossbow_Stormbow_Title	Ballesta de tormenta ligera
Equipment/&Enchanted_Maul_Acuteness_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Maul_Acuteness_Title	Mazo de agudeza
Equipment/&Enchanted_Maul_Bearclaw_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Manacalon. Las puntas afiladas de la garra del oso destrozan la armadura para infligir daño adicional. La primera arma de este tipo fue diseñada por Ildurial Stronghand.
Equipment/&Enchanted_Maul_Bearclaw_Title	Mazo garra de oso
Equipment/&Enchanted_Maul_Lightbringer_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Colthannin. Fue diseñado por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_Maul_Lightbringer_Title	Mazo Iluminado
Equipment/&Enchanted_Maul_Power_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Manacalon. Algunas criaturas solo respetan las fuerzas físicas. Los arcanistas de Manacalon crearon este Maul para dar a los campeones de las Legiones de Hierro la fuerza que sus cuerpos élficos no les proporcionaban.
Equipment/&Enchanted_Maul_Power_Title	mazo de poder
Equipment/&Enchanted_Maul_Punisher_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. La combinación del mejor metal y Slavestone le dio a este hacha un increíble poder de perforación.
Equipment/&Enchanted_Maul_Punisher_Title	mazo del castigador
Equipment/&Enchanted_Quarterstaff_Acuteness_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Quarterstaff_Acuteness_Title	Quarterstaff de agudeza
Equipment/&Enchanted_Quarterstaff_Dragonblade_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Fue diseñado por Lestoreth Steelarm para luchar en el norte helado del Imperio.
Equipment/&Enchanted_Quarterstaff_Dragonblade_Title	Bastón de hoja de dragón
Equipment/&Enchanted_Quarterstaff_Frostburn_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Fue diseñado por Keliandir Moltenheart, quien forjó esta arma para luchar contra las salamandras después de que una exploración de los planos elementales saliera mal.
Equipment/&Enchanted_Quarterstaff_Frostburn_Title	Garrocha quemada por Escarcha
Equipment/&Enchanted_Quarterstaff_Lightbringer_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Colthannin. Fue diseñado por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_Quarterstaff_Lightbringer_Title	Cuarto de bastón de Iluminado
Equipment/&Enchanted_Quarterstaff_Souldrinker_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Una de las favoritas de los agentes de Silent Whisper, esta arma fue diseñada por Cylordir Redblade.
Equipment/&Enchanted_Quarterstaff_Souldrinker_Title	Bastón de bebedor de almas
Equipment/&Enchanted_Quarterstaff_Stormblade_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Manacalon. ¡Fue diseñado por Galar Stromforge, el primer herrero enano en aprovechar el poder de la tormenta en un arma con efectos devastadores!
Equipment/&Enchanted_Quarterstaff_Stormblade_Title	Cuartel de hoja tormentosa
Equipment/&Enchanted_Quarterstaff_Warden_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Manacalon. Fue diseñado por Ildurial Strongarm, un famoso herrero de Manacalon. La primera espada de este tipo, la Manacalon Warden, se ofreció al comandante de Euraidd.
Equipment/&Enchanted_Quarterstaff_Warden_Title	Cuarto de bastón de guardián
Equipment/&Enchanted_Quarterstaff_Whiteburn_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Whiteburn fue creado por el primer Danantar para luchar contra una invasión troll proveniente de los pantanos al sur de su dominio entre Sioltafin y Scarafin.
Equipment/&Enchanted_Quarterstaff_Whiteburn_Title	Cuartel de Whiteburn
Equipment/&Enchanted_Rapier_Dragonblade_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Fue diseñado por Lestoreth Steelarm para luchar en el norte helado del Imperio.
Equipment/&Enchanted_Rapier_Dragonblade_Title	Estoque de hoja de dragón
Equipment/&Enchanted_Rapier_Frostburn_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Fue diseñado por Keliandir Moltenheart, quien forjó esta arma para luchar contra las salamandras después de que una exploración de los planos elementales saliera mal.
Equipment/&Enchanted_Rapier_Frostburn_Title	Estoque quemado de escarcha
Equipment/&Enchanted_Rapier_Lightbringer_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Colthannin. Fue diseñado por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_Rapier_Lightbringer_Title	Estoque Iluminado
Equipment/&Enchanted_Rapier_Power_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Manacalon. Algunas criaturas solo respetan las fuerzas físicas. Los arcanistas de Manacalon crearon este Estoque para dar a los campeones de las Legiones de Hierro la fuerza que sus cuerpos élficos no les proporcionaban.
Equipment/&Enchanted_Rapier_Power_Title	Estoque de poder
Equipment/&Enchanted_Rapier_Souldrinker_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Una de las favoritas de los agentes de Silent Whisper, esta arma fue diseñada por Cylordir Redblade.
Equipment/&Enchanted_Rapier_Souldrinker_Title	Estoque de bebealmas
Equipment/&Enchanted_Rapier_Stormblade_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Manacalon. ¡Fue diseñado por Galar Stromforge, el primer herrero enano en aprovechar el poder de la tormenta en un arma con efectos devastadores!
Equipment/&Enchanted_Rapier_Stormblade_Title	Estoque de hoja tormentosa
Equipment/&Enchanted_Rapier_Warden_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Manacalon. Fue diseñado por Ildurial Strongarm, un famoso herrero de Manacalon. La primera espada de este tipo, la Manacalon Warden, se ofreció al comandante de Euraidd.
Equipment/&Enchanted_Rapier_Warden_Title	estoque del guardián
Equipment/&Enchanted_Rapier_Whiteburn_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Whiteburn fue creado por el primer Danantar para luchar contra una invasión troll proveniente de los pantanos al sur de su dominio entre Sioltafin y Scarafin.
Equipment/&Enchanted_Rapier_Whiteburn_Title	Estoque de Whiteburn
Equipment/&Enchanted_Scimitar_Dragonblade_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Fue diseñado por Lestoreth Steelarm para luchar en el norte helado del Imperio.
Equipment/&Enchanted_Scimitar_Dragonblade_Title	Cimitarra de hoja de dragón
Equipment/&Enchanted_Scimitar_Frostburn_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Fue diseñado por Keliandir Moltenheart, quien forjó esta arma para luchar contra las salamandras después de que una exploración de los planos elementales saliera mal.
Equipment/&Enchanted_Scimitar_Frostburn_Title	Cimitarra quemada por escarcha
Equipment/&Enchanted_Scimitar_Lightbringer_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Colthannin. Fue diseñado por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_Scimitar_Lightbringer_Title	Cimitarra Iluminada
Equipment/&Enchanted_Scimitar_Souldrinker_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Una de las favoritas de los agentes de Silent Whisper, esta arma fue diseñada por Cylordir Redblade.
Equipment/&Enchanted_Scimitar_Souldrinker_Title	Cimitarra bebealmas
Equipment/&Enchanted_Scimitar_Stormblade_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Manacalon. ¡Fue diseñado por Galar Stromforge, el primer herrero enano en aprovechar el poder de la tormenta en un arma con efectos devastadores!
Equipment/&Enchanted_Scimitar_Stormblade_Title	Cimitarra hoja tormentosa
Equipment/&Enchanted_Scimitar_Warden_Description	Esta arma encantada fue forjada usando el antiguo conocimiento de los maestros herreros de Manacalon. Fue diseñado por Ildurial Strongarm, un famoso herrero de Manacalon. La primera espada de este tipo, la Manacalon Warden, se ofreció al comandante de Euraidd.
Equipment/&Enchanted_Scimitar_Warden_Title	Cimitarra de guardián
Equipment/&Enchanted_Scimitar_Whiteburn_Description	Esta arma encantada fue creada usando el antiguo conocimiento de los maestros herreros de Manacalon. Whiteburn fue creado por el primer Danantar para luchar contra una invasión troll proveniente de los pantanos al sur de su dominio entre Sioltafin y Scarafin.
Equipment/&Enchanted_Scimitar_Whiteburn_Title	Cimitarra de quemadura blanca
Equipment/&Enchanted_Shield_Deflection_Description	Esta armadura encantada fue creada usando el antiguo conocimiento de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_Shield_Deflection_Title	Escudo de desviación
Equipment/&Enchanted_Shield_FlameDancing_Description	Esta armadura encantada fue creada usando el antiguo conocimiento de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
