ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços.
Equipment/&Enchanted_Javelin_Souldrinker_Title	Lança do Bebedor de Almas
Equipment/&Enchanted_LeatherDruid_Deflection_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_LeatherDruid_Deflection_Title	Couro Druida da Deflexão
Equipment/&Enchanted_LeatherDruid_FlameDancing_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_LeatherDruid_FlameDancing_Title	Druid Leather of Flame Dance
Equipment/&Enchanted_LeatherDruid_FrostWalking_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_LeatherDruid_FrostWalking_Title	Druid Leather of Frost Walking
Equipment/&Enchanted_LeatherDruid_Robustness_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_LeatherDruid_Robustness_Title	Couro Druida da Robustez
Equipment/&Enchanted_LeatherDruid_Sturdiness_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_LeatherDruid_Sturdiness_Title	Couro Druida da Robustez
Equipment/&Enchanted_LeatherDruid_Survival_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_LeatherDruid_Survival_Title	Couro Druida da Sobrevivência
Equipment/&Enchanted_LightCrossbow_Accuracy_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres arqueiros de Colthannin. Seu design original trazia o símbolo de Defineth Sharpsight, um renomado mago elfo silvestre.
Equipment/&Enchanted_LightCrossbow_Accuracy_Title	Besta Leve de Precisão
Equipment/&Enchanted_LightCrossbow_Lightbringer_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres arqueiros de Colthannin. Ele foi projetado por Elgador Keenspirit, Magesmith of the Arcaneum para apoiar o combate contra criaturas mortas-vivas.
Equipment/&Enchanted_LightCrossbow_Lightbringer_Title	Besta Leve Lightbringer
Equipment/&Enchanted_LightCrossbow_Medusa_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres arqueiros de Colthannin. A magia fundiu coral de medusa e madeira dura para criar um arco mortal, preferido pelos grupos de embarque dos halflings da ilha.
Equipment/&Enchanted_LightCrossbow_Medusa_Title	Besta Leve Medusa
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres arqueiros de Colthannin. O Coedymwarth preferiu lidar com os arcanistas de Manacalon fisicamente ao invés de magicamente. Seus melhores arqueiros receberam bestas, a criação da Defineth Sharpsight.
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Title	Besta Leve de Atirador
Equipment/&Enchanted_LightCrossbow_Stormbow_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres arqueiros de Colthannin. Ele foi projetado por Galar Stromforge, o primeiro ferreiro anão a aproveitar o poder da tempestade em uma arma para um efeito devastador!
Equipment/&Enchanted_LightCrossbow_Stormbow_Title	Besta de Tempestade Leve
Equipment/&Enchanted_Maul_Acuteness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Maul_Acuteness_Title	Malho da Agudeza
Equipment/&Enchanted_Maul_Bearclaw_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Manacalon. As pontas afiadas da garra do urso rasgam a armadura para causar dano adicional. A primeira arma desse tipo foi projetada por Ildurial Stronghand.
Equipment/&Enchanted_Maul_Bearclaw_Title	Malho Garra de Urso
Equipment/&Enchanted_Maul_Lightbringer_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Colthannin. Ele foi projetado por Elgador Keenspirit, Magesmith of the Arcaneum para apoiar o combate contra criaturas mortas-vivas.
Equipment/&Enchanted_Maul_Lightbringer_Title	Malho da Luz
Equipment/&Enchanted_Maul_Power_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Algumas criaturas respeitam apenas as forças físicas. Arcanistas de Manacalon criaram este Maul para dar aos campeões das Legiões de Ferro a força que seus corpos élficos não forneciam.
Equipment/&Enchanted_Maul_Power_Title	Malha do Poder
Equipment/&Enchanted_Maul_Punisher_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. A combinação do melhor metal e Slavestone deu a este machado um poder de perfuração incrível.
Equipment/&Enchanted_Maul_Punisher_Title	Punisher Maul
Equipment/&Enchanted_Quarterstaff_Acuteness_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Seu design foi um dos primeiros trabalhos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Quarterstaff_Acuteness_Title	Cajado de Agudeza
Equipment/&Enchanted_Quarterstaff_Dragonblade_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Foi projetado por Lestoreth Steelarm para lutar no norte congelado do Império.
Equipment/&Enchanted_Quarterstaff_Dragonblade_Title	Cajado da Lâmina do Dragão
Equipment/&Enchanted_Quarterstaff_Frostburn_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Foi projetado por Keliandir Moltenheart, que forjou esta arma para combater salamandras depois que uma exploração dos planos elementais deu errado.
Equipment/&Enchanted_Quarterstaff_Frostburn_Title	Cajado do Queimadura de Gelo
Equipment/&Enchanted_Quarterstaff_Lightbringer_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Colthannin. Ele foi projetado por Elgador Keenspirit, Magesmith of the Arcaneum para apoiar o combate contra criaturas mortas-vivas.
Equipment/&Enchanted_Quarterstaff_Lightbringer_Title	Cajado do Portador da Luz
Equipment/&Enchanted_Quarterstaff_Souldrinker_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Um favorito dos agentes Silent Whisper, esta arma foi projetada por Cylordir Redblade.
Equipment/&Enchanted_Quarterstaff_Souldrinker_Title	Cajado do Bebedor de Almas
Equipment/&Enchanted_Quarterstaff_Stormblade_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Ele foi projetado por Galar Stromforge, o primeiro ferreiro anão a aproveitar o poder da tempestade em uma arma para um efeito devastador!
Equipment/&Enchanted_Quarterstaff_Stormblade_Title	Cajado da Lâmina da Tempestade
Equipment/&Enchanted_Quarterstaff_Warden_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Foi projetado por Ildurial Strongarm, um famoso cuteleiro de Manacalon. A primeira dessas lâminas, a Manacalon Warden, foi oferecida ao comandante da Euraidd.
Equipment/&Enchanted_Quarterstaff_Warden_Title	Cajado do Diretor
Equipment/&Enchanted_Quarterstaff_Whiteburn_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Whiteburn foi criado pelo primeiro Danantar para lutar contra uma invasão troll vinda dos pântanos ao sul de seu domínio entre os Sioltafin e os Scarafin.
Equipment/&Enchanted_Quarterstaff_Whiteburn_Title	Cajado de Whiteburn
Equipment/&Enchanted_Rapier_Dragonblade_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Foi projetado por Lestoreth Steelarm para lutar no norte congelado do Império.
Equipment/&Enchanted_Rapier_Dragonblade_Title	Espada de Dragão
Equipment/&Enchanted_Rapier_Frostburn_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Foi projetado por Keliandir Moltenheart, que forjou esta arma para combater salamandras depois que uma exploração dos planos elementais deu errado.
Equipment/&Enchanted_Rapier_Frostburn_Title	Rapier Frostburn
Equipment/&Enchanted_Rapier_Lightbringer_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Colthannin. Ele foi projetado por Elgador Keenspirit, Magesmith of the Arcaneum para apoiar o combate contra criaturas mortas-vivas.
Equipment/&Enchanted_Rapier_Lightbringer_Title	Rapier Lightbringer
Equipment/&Enchanted_Rapier_Power_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Algumas criaturas respeitam apenas as forças físicas. Arcanistas de Manacalon criaram este Rapier para dar aos campeões das Legiões de Ferro a força que seus corpos élficos não forneciam.
Equipment/&Enchanted_Rapier_Power_Title	Rapieira do Poder
Equipment/&Enchanted_Rapier_Souldrinker_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Um favorito dos agentes Silent Whisper, esta arma foi projetada por Cylordir Redblade.
Equipment/&Enchanted_Rapier_Souldrinker_Title	Rapieira Bebedora de Almas
Equipment/&Enchanted_Rapier_Stormblade_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Ele foi projetado por Galar Stromforge, o primeiro ferreiro anão a aproveitar o poder da tempestade em uma arma para um efeito devastador!
Equipment/&Enchanted_Rapier_Stormblade_Title	Rapieira da Lâmina da Tempestade
Equipment/&Enchanted_Rapier_Warden_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Foi projetado por Ildurial Strongarm, um famoso cuteleiro de Manacalon. A primeira dessas lâminas, a Manacalon Warden, foi oferecida ao comandante da Euraidd.
Equipment/&Enchanted_Rapier_Warden_Title	Warden Rapier
Equipment/&Enchanted_Rapier_Whiteburn_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Whiteburn foi criado pelo primeiro Danantar para lutar contra uma invasão troll vinda dos pântanos ao sul de seu domínio entre os Sioltafin e os Scarafin.
Equipment/&Enchanted_Rapier_Whiteburn_Title	Rapier Whiteburn
Equipment/&Enchanted_Scimitar_Dragonblade_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Foi projetado por Lestoreth Steelarm para lutar no norte congelado do Império.
Equipment/&Enchanted_Scimitar_Dragonblade_Title	Cimitarra Lâmina do Dragão
Equipment/&Enchanted_Scimitar_Frostburn_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Foi projetado por Keliandir Moltenheart, que forjou esta arma para combater salamandras depois que uma exploração dos planos elementais deu errado.
Equipment/&Enchanted_Scimitar_Frostburn_Title	Cimitarra Queimadura de Gelo
Equipment/&Enchanted_Scimitar_Lightbringer_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Colthannin. Ele foi projetado por Elgador Keenspirit, Magesmith of the Arcaneum para apoiar o combate contra criaturas mortas-vivas.
Equipment/&Enchanted_Scimitar_Lightbringer_Title	Cimitarra Portadora da Luz
Equipment/&Enchanted_Scimitar_Souldrinker_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Um favorito dos agentes Silent Whisper, esta arma foi projetada por Cylordir Redblade.
Equipment/&Enchanted_Scimitar_Souldrinker_Title	Cimitarra Bebedora de Almas
Equipment/&Enchanted_Scimitar_Stormblade_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Ele foi projetado por Galar Stromforge, o primeiro ferreiro anão a aproveitar o poder da tempestade em uma arma para um efeito devastador!
Equipment/&Enchanted_Scimitar_Stormblade_Title	Cimitarra da Lâmina da Tempestade
Equipment/&Enchanted_Scimitar_Warden_Description	Esta arma encantada foi forjada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Foi projetado por Ildurial Strongarm, um famoso cuteleiro de Manacalon. A primeira dessas lâminas, a Manacalon Warden, foi oferecida ao comandante da Euraidd.
Equipment/&Enchanted_Scimitar_Warden_Title	Diretor Cimitarra
Equipment/&Enchanted_Scimitar_Whiteburn_Description	Esta arma encantada foi criada usando o antigo conhecimento dos mestres ferreiros de Manacalon. Whiteburn foi criado pelo primeiro Danantar para lutar contra uma invasão troll vinda dos pântanos ao sul de seu domínio entre os Sioltafin e os Scarafin.
Equipment/&Enchanted_Scimitar_Whiteburn_Title	Cimitarra Whiteburn
Equipment/&Enchanted_Shield_Deflection_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_Deflection_Title	Escudo de Deflexão
Equipment/&Enchanted_Shield_FlameDancing_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_FlameDancing_Title	Escudo da Dança das Chamas
Equipment/&Enchanted_Shield_FrostWalking_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_FrostWalking_Title	Escudo de Andar no Gelo
Equipment/&Enchanted_Shield_Robustness_Description	Esta armadura encantada foi criada usando o antigo conhecimento dos mestres armeiros de Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
