ActionAffinity/&DHFeeblemindSpellDescription	No puede lanzar hechizos.
Equipment/&Enchanted_HideArmor_Robustness_Description	Esta armadura encantada se creÃ³ utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjÃ³ la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_HideArmor_Robustness_Title	Armadura de pieles de robustez
Equipment/&Enchanted_HideArmor_Sturdiness_Description	Esta armadura encantada se creÃ³ utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjÃ³ la primera de esas armaduras para la guardia personal del emperador.
Equipment/&Enchanted_HideArmor_Sturdiness_Title	Armadura de pieles de robustez
Equipment/&Enchanted_HideArmor_Survival_Description	Esta armadura encantada se creÃ³ utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjÃ³ la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_HideArmor_Survival_Title	Armadura de piel de supervivencia
Equipment/&Enchanted_Javelin_Acuteness_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseÃ±o fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Javelin_Acuteness_Title	Jabalina de la agudeza
Equipment/&Enchanted_Javelin_Frostburn_Description	Esta arma encantada se creÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseÃ±ada por Keliandir Moltenheart, que forjÃ³ esta arma para luchar contra las salamandras despuÃ©s de que una exploraciÃ³n de los planos elementales se torciera.
Equipment/&Enchanted_Javelin_Frostburn_Title	Jabalina de quemadura de escarcha
Equipment/&Enchanted_Javelin_Sharpness_Description	Esta arma encantada se creÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseÃ±o fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Javelin_Sharpness_Title	Jabalina de la agudeza
Equipment/&Enchanted_Javelin_Souldrinker_Description	Esta arma encantada se creÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Esta arma, una de las favoritas de los agentes de Silent Whisper, fue diseÃ±ada por Cylordir Redblade.
Equipment/&Enchanted_Javelin_Souldrinker_Title	Jabalina del Cantapiedras
Equipment/&Enchanted_LeatherDruid_Deflection_Description	Esta armadura encantada fue creada utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjÃ³ la primera de esas armaduras para la guardia personal del emperador.
Equipment/&Enchanted_LeatherDruid_Deflection_Title	Cuero de druida de la desviaciÃ³n
Equipment/&Enchanted_LeatherDruid_FlameDancing_Description	Esta armadura encantada se creÃ³ utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjÃ³ la primera de esas armaduras para la guardia personal del emperador.
Equipment/&Enchanted_LeatherDruid_FlameDancing_Title	Cuero de druida de la danza de las llamas
Equipment/&Enchanted_LeatherDruid_FrostWalking_Description	Esta armadura encantada se creÃ³ utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjÃ³ la primera de esas armaduras para la guardia personal del emperador.
Equipment/&Enchanted_LeatherDruid_FrostWalking_Title	Cuero de druida de la marcha de la escarcha
Equipment/&Enchanted_LeatherDruid_Robustness_Description	Esta armadura encantada se creÃ³ utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjÃ³ la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_LeatherDruid_Robustness_Title	Cuero de druida de la robustez
Equipment/&Enchanted_LeatherDruid_Sturdiness_Description	Esta armadura encantada se creÃ³ utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjÃ³ la primera de esas armaduras para la guardia personal del emperador.
Equipment/&Enchanted_LeatherDruid_Sturdiness_Title	Cuero de druida de la robustez
Equipment/&Enchanted_LeatherDruid_Survival_Description	Esta armadura encantada se creÃ³ utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjÃ³ la primera de esas armaduras para la guardia personal del emperador.
Equipment/&Enchanted_LeatherDruid_Survival_Title	Cuero de druida de la supervivencia
Equipment/&Enchanted_LightCrossbow_Accuracy_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. Su diseÃ±o original llevaba el sello de Defineth Sharpsight, un renombrado hechicero elfo selvÃ¡tico.
Equipment/&Enchanted_LightCrossbow_Accuracy_Title	Ballesta ligera de precisiÃ³n
Equipment/&Enchanted_LightCrossbow_Lightbringer_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. Fue diseÃ±ada por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_LightCrossbow_Lightbringer_Title	Ballesta de luz Lightbringer
Equipment/&Enchanted_LightCrossbow_Medusa_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. La magia fundiÃ³ el coral de medusa y la madera dura para crear un arco mortal, favorecido por las partidas de abordaje de los halflings de la isla.
Equipment/&Enchanted_LightCrossbow_Medusa_Title	Ballesta ligera de medusa
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. Los Coedymwarth preferÃ­an enfrentarse a los arqueros de Manacalon fÃ­sicamente en lugar de mÃ¡gicamente. Sus mejores arqueros recibieron ballestas, creaciÃ³n de Defineth Sharpsight.
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Title	Ballesta ligera de punterÃ­a
Equipment/&Enchanted_LightCrossbow_Stormbow_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. Fue diseÃ±ada por Galar Stromforge, el primer herrero enano que aprovechÃ³ el poder de la tormenta en un arma con un efecto devastador.
Equipment/&Enchanted_LightCrossbow_Stormbow_Title	Arco de tormenta ligero
Equipment/&Enchanted_Maul_Acuteness_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseÃ±o fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Maul_Acuteness_Title	Mazo de la agudeza
Equipment/&Enchanted_Maul_Bearclaw_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Los afilados pinchos de la garra del oso destrozan la armadura para infligir daÃ±o adicional. La primera arma de este tipo fue diseÃ±ada por Ildurial Stronghand.
Equipment/&Enchanted_Maul_Bearclaw_Title	Mazo de garras de oso
Equipment/&Enchanted_Maul_Lightbringer_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros herreros de Colthannin. Fue diseÃ±ada por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_Maul_Lightbringer_Title	Mazo de los Portadores de Luz
Equipment/&Enchanted_Maul_Power_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Algunas criaturas sÃ³lo respetan las fuerzas fÃ­sicas. Los arcanistas de Manacalon crearon esta maza para dar a los campeones de las Legiones de Hierro la fuerza que sus cuerpos Ã©lficos no les proporcionaban.
Equipment/&Enchanted_Maul_Power_Title	Maul de poder
Equipment/&Enchanted_Maul_Punisher_Description	Esta arma encantada se creÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. La combinaciÃ³n del mejor metal y la piedra eslava proporcionÃ³ a esta hacha un increÃ­ble poder de perforaciÃ³n.
Equipment/&Enchanted_Maul_Punisher_Title	Mazo castigador
Equipment/&Enchanted_Quarterstaff_Acuteness_Description	Esta arma encantada se creÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseÃ±o fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Quarterstaff_Acuteness_Title	BÃ¡culo de agudeza
Equipment/&Enchanted_Quarterstaff_Dragonblade_Description	Esta arma encantada se creÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseÃ±ada por Lestoreth Steelarm para luchar en el norte helado del Imperio.
Equipment/&Enchanted_Quarterstaff_Dragonblade_Title	BÃ¡culo de hoja de dragÃ³n
Equipment/&Enchanted_Quarterstaff_Frostburn_Description	Esta arma encantada fue creada con los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseÃ±ada por Keliandir Moltenheart, que forjÃ³ esta arma para luchar contra las salamandras despuÃ©s de que una exploraciÃ³n de los planos elementales se torciera.
Equipment/&Enchanted_Quarterstaff_Frostburn_Title	BÃ¡culo de Quemadura de Escarcha
Equipment/&Enchanted_Quarterstaff_Lightbringer_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros herreros de Colthannin. Fue diseÃ±ada por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_Quarterstaff_Lightbringer_Title	BÃ¡culo de los Portadores de Luz
Equipment/&Enchanted_Quarterstaff_Souldrinker_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Esta arma, una de las favoritas de los agentes de Silent Whisper, fue diseÃ±ada por Cylordir Redblade.
Equipment/&Enchanted_Quarterstaff_Souldrinker_Title	BÃ¡culo del herrero
Equipment/&Enchanted_Quarterstaff_Stormblade_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseÃ±ada por Galar Stromforge, el primer herrero enano que aprovechÃ³ el poder de la tormenta en un arma con un efecto devastador.
Equipment/&Enchanted_Quarterstaff_Stormblade_Title	BÃ¡culo de tormenta
Equipment/&Enchanted_Quarterstaff_Warden_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseÃ±ada por Ildurial Strongarm, un famoso herrero de Manacalon. La primera hoja de este tipo, el GuardiÃ¡n de Manacalon, se ofreciÃ³ al comandante de los Euraidd.
Equipment/&Enchanted_Quarterstaff_Warden_Title	BÃ¡culo del GuardiÃ¡n
Equipment/&Enchanted_Quarterstaff_Whiteburn_Description	Esta arma encantada se creÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. La Quemadura Blanca fue creada por el primer Danantar para luchar contra una invasiÃ³n de trolls procedente de los pantanos al sur de sus dominios, entre el Sioltafin y el Scarafin.
Equipment/&Enchanted_Quarterstaff_Whiteburn_Title	BÃ¡culo de Quemadura Blanca
Equipment/&Enchanted_Rapier_Dragonblade_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseÃ±ada por Lestoreth Steelarm para luchar en el norte helado del Imperio.
Equipment/&Enchanted_Rapier_Dragonblade_Title	Estoque de hoja de dragÃ³n
Equipment/&Enchanted_Rapier_Frostburn_Description	Esta arma encantada se creÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseÃ±ada por Keliandir Moltenheart, que forjÃ³ esta arma para luchar contra las salamandras despuÃ©s de que una exploraciÃ³n de los planos elementales se torciera.
Equipment/&Enchanted_Rapier_Frostburn_Title	Estoque de quemadura de escarcha
Equipment/&Enchanted_Rapier_Lightbringer_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros herreros de Colthannin. Fue diseÃ±ada por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_Rapier_Lightbringer_Title	Estoque Lightbringer
Equipment/&Enchanted_Rapier_Power_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Algunas criaturas sÃ³lo respetan las fuerzas fÃ­sicas. Los arcanistas de Manacalon crearon este estoque para dar a los campeones de las Legiones de Hierro la fuerza que sus cuerpos Ã©lficos no les proporcionaban.
Equipment/&Enchanted_Rapier_Power_Title	Estoque de poder
Equipment/&Enchanted_Rapier_Souldrinker_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Esta arma, una de las favoritas de los agentes de Silent Whisper, fue diseÃ±ada por Cylordir Redblade.
Equipment/&Enchanted_Rapier_Souldrinker_Title	Estoque de los "Souldrinker
Equipment/&Enchanted_Rapier_Stormblade_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseÃ±ada por Galar Stromforge, el primer herrero enano que aprovechÃ³ el poder de la tormenta en un arma con un efecto devastador.
Equipment/&Enchanted_Rapier_Stormblade_Title	Estoque de hoja de tormenta
Equipment/&Enchanted_Rapier_Warden_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseÃ±ada por Ildurial Strongarm, un famoso herrero de Manacalon. La primera hoja de este tipo, el GuardiÃ¡n de Manacalon, se ofreciÃ³ al comandante de los Euraidd.
Equipment/&Enchanted_Rapier_Warden_Title	Estoque del GuardiÃ¡n
Equipment/&Enchanted_Rapier_Whiteburn_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. La Quemadura Blanca fue creada por el primer Danantar para luchar contra una invasiÃ³n de trolls procedente de los pantanos al sur de sus dominios, entre el Sioltafin y el Scarafin.
Equipment/&Enchanted_Rapier_Whiteburn_Title	Estoque de Quemadura Blanca
Equipment/&Enchanted_Scimitar_Dragonblade_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseÃ±ada por Lestoreth Steelarm para luchar en el norte helado del Imperio.
Equipment/&Enchanted_Scimitar_Dragonblade_Title	Cimitarra Hoja de DragÃ³n
Equipment/&Enchanted_Scimitar_Frostburn_Description	Esta arma encantada se creÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseÃ±ada por Keliandir Moltenheart, que forjÃ³ esta arma para luchar contra las salamandras despuÃ©s de que una exploraciÃ³n de los planos elementales se torciera.
Equipment/&Enchanted_Scimitar_Frostburn_Title	Cimitarra de la Quemadura de Escarcha
Equipment/&Enchanted_Scimitar_Lightbringer_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros herreros de Colthannin. Fue diseÃ±ada por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_Scimitar_Lightbringer_Title	Cimitarra Lightbringer
Equipment/&Enchanted_Scimitar_Souldrinker_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Esta arma, una de las favoritas de los agentes de Silent Whisper, fue diseÃ±ada por Cylordir Redblade.
Equipment/&Enchanted_Scimitar_Souldrinker_Title	Cimitarra Souldrinker
Equipment/&Enchanted_Scimitar_Stormblade_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseÃ±ada por Galar Stromforge, el primer herrero enano que aprovechÃ³ el poder de la tormenta en un arma con un efecto devastador.
Equipment/&Enchanted_Scimitar_Stormblade_Title	Cimitarra de las Tormentas
Equipment/&Enchanted_Scimitar_Warden_Description	Esta arma encantada se forjÃ³ utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseÃ±ada por Ildurial Strongarm, un famoso herrero de Manacalon. La primera hoja de este tipo, la Cimitarra del GuardiÃ¡n de Manacalon, se ofreciÃ³ al comandante de los Euraidd.
Equipment/&Enchanted_Scimitar_Warden_Title	Cimitarra del GuardiÃ¡n
Equipment/&Enchanted_Scimitar_Whiteburn_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. La Quemablanca fue creada por el primer Danantar para luchar contra una invasiÃ³n de trolls procedente de los pantanos al sur de sus dominios, entre el Sioltafin y el Scarafin.
