ActionAffinity/&DHFeeblemindSpellDescription	Impossibile lanciare incantesimi.
Equipment/&Enchanted_Javelin_Acuteness_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Il suo design Ã¨ uno dei primi lavori di Elgador Keenspirit, Mago dell'Arcaneum.
Equipment/&Enchanted_Javelin_Acuteness_Title	Giavellotto dell'acutezza
Equipment/&Enchanted_Javelin_Frostburn_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Ãˆ stata progettata da Keliandir Moltenheart, che l'ha forgiata per combattere le salamandre dopo un'esplorazione dei piani elementali andata male.
Equipment/&Enchanted_Javelin_Frostburn_Title	Giavellotto di Frostburn
Equipment/&Enchanted_Javelin_Sharpness_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Il suo design Ã¨ uno dei primi lavori di Elgador Keenspirit, mago dell'Arcaneum.
Equipment/&Enchanted_Javelin_Sharpness_Title	Giavellotto dell'Affilatezza
Equipment/&Enchanted_Javelin_Souldrinker_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Preferita dagli agenti di Silent Whisper, quest'arma Ã¨ stata progettata da Cylordir Redblade.
Equipment/&Enchanted_Javelin_Souldrinker_Title	Giavellotto di Souldrinker
Equipment/&Enchanted_LeatherDruid_Deflection_Description	Questa armatura incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri armaioli di Manacalon. Ildurial Stronghand forgiÃ² la prima di queste armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_LeatherDruid_Deflection_Title	Pelle del Druido della Deviazione
Equipment/&Enchanted_LeatherDruid_FlameDancing_Description	Questa armatura incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri armaioli di Manacalon. Ildurial Stronghand forgiÃ² la prima di queste armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_LeatherDruid_FlameDancing_Title	Pelle del Druido della Danza delle Fiamme
Equipment/&Enchanted_LeatherDruid_FrostWalking_Description	Questa armatura incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri armaioli di Manacalon. Ildurial Stronghand forgiÃ² la prima di queste armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_LeatherDruid_FrostWalking_Title	Pelle del Druido del Cammino del Gelo
Equipment/&Enchanted_LeatherDruid_Robustness_Description	Questa armatura incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri armaioli di Manacalon. Ildurial Stronghand forgiÃ² la prima di queste armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_LeatherDruid_Robustness_Title	Cuoio del Druido della Robustezza
Equipment/&Enchanted_LeatherDruid_Sturdiness_Description	Questa armatura incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri armaioli di Manacalon. Ildurial Stronghand forgiÃ² la prima di queste armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_LeatherDruid_Sturdiness_Title	Cuoio del Druido della Robustezza
Equipment/&Enchanted_LeatherDruid_Survival_Description	Questa armatura incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri armaioli di Manacalon. Ildurial Stronghand forgiÃ² la prima di queste armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_LeatherDruid_Survival_Title	Cuoio del Druido della Sopravvivenza
Equipment/&Enchanted_LightCrossbow_Accuracy_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri arcieri di Colthannin. Il suo design originale portava il sigillo di Defineth Sharpsight, un rinomato incantatore elfo silvestre.
Equipment/&Enchanted_LightCrossbow_Accuracy_Title	Balestra leggera di precisione
Equipment/&Enchanted_LightCrossbow_Lightbringer_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri arcieri di Colthannin. Ãˆ stata progettata da Elgador Keenspirit, Mago dell'Arcaneum, per sostenere i combattimenti contro le creature non morte.
Equipment/&Enchanted_LightCrossbow_Lightbringer_Title	Balestra leggera Lightbringer
Equipment/&Enchanted_LightCrossbow_Medusa_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri arcieri di Colthannin. La magia ha fuso il corallo di medusa e il legno duro per creare un arco letale, preferito dagli abbordaggi degli halfling dell'isola.
Equipment/&Enchanted_LightCrossbow_Medusa_Title	Balestra leggera Medusa
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri arcieri di Colthannin. Il Coedymwarth preferiva affrontare gli arcanisti di Manacalon fisicamente piuttosto che magicamente. Ai suoi migliori arcieri furono date balestre, create da Defineth Sharpsight.
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Title	Balestra leggera del tiro a segno
Equipment/&Enchanted_LightCrossbow_Stormbow_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri arcieri di Colthannin. Ãˆ stata progettata da Galar Stromforge, il primo fabbro nanico a sfruttare il potere della tempesta in un'arma con effetti devastanti!
Equipment/&Enchanted_LightCrossbow_Stormbow_Title	Balestra leggera della tempesta
Equipment/&Enchanted_Maul_Acuteness_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Il suo design Ã¨ uno dei primi lavori di Elgador Keenspirit, mago dell'Arcaneum.
Equipment/&Enchanted_Maul_Acuteness_Title	Maul dell'acutezza
Equipment/&Enchanted_Maul_Bearclaw_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Le punte affilate dell'artiglio dell'orso lacerano l'armatura per infliggere ulteriori danni. La prima arma di questo tipo Ã¨ stata progettata da Ildurial Stronghand.
Equipment/&Enchanted_Maul_Bearclaw_Title	Mazza dell'artiglio dell'orso
Equipment/&Enchanted_Maul_Lightbringer_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri fabbri di Colthannin. Ãˆ stata progettata da Elgador Keenspirit, Mago dell'Arcaneum, per sostenere il combattimento contro le creature non morte.
Equipment/&Enchanted_Maul_Lightbringer_Title	Mazza del Portatore di Luce
Equipment/&Enchanted_Maul_Power_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Alcune creature rispettano solo la forza fisica. Gli arcanisti di Manacalon crearono questa maul per dare ai campioni delle Legioni di Ferro la forza che i loro corpi elfici non fornivano.
Equipment/&Enchanted_Maul_Power_Title	Maul del potere
Equipment/&Enchanted_Maul_Punisher_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. La combinazione del miglior metallo e della pietra di Slavestone ha conferito a quest'ascia un incredibile potere perforante.
Equipment/&Enchanted_Maul_Punisher_Title	Maul del Punitore
Equipment/&Enchanted_Quarterstaff_Acuteness_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Il suo design Ã¨ uno dei primi lavori di Elgador Keenspirit, mago dell'Arcaneum.
Equipment/&Enchanted_Quarterstaff_Acuteness_Title	Quarto di bastone dell'acutezza
Equipment/&Enchanted_Quarterstaff_Dragonblade_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Ãˆ stata progettata da Lestoreth Steelarm per combattere nel gelido Nord dell'Impero.
Equipment/&Enchanted_Quarterstaff_Dragonblade_Title	Quarterstaff Dragonblade
Equipment/&Enchanted_Quarterstaff_Frostburn_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Ãˆ stata progettata da Keliandir Moltenheart, che l'ha forgiata per combattere le salamandre dopo un'esplorazione dei piani elementali andata male.
Equipment/&Enchanted_Quarterstaff_Frostburn_Title	Quarterstaff di Frostburn
Equipment/&Enchanted_Quarterstaff_Lightbringer_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri fabbri di Colthannin. Ãˆ stata progettata da Elgador Keenspirit, mago dell'Arcaneum, per sostenere i combattimenti contro le creature non morte.
Equipment/&Enchanted_Quarterstaff_Lightbringer_Title	Quarterstaff del Portatore di Luce
Equipment/&Enchanted_Quarterstaff_Souldrinker_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Preferita dagli agenti di Silent Whisper, quest'arma Ã¨ stata progettata da Cylordir Redblade.
Equipment/&Enchanted_Quarterstaff_Souldrinker_Title	Quarterstaff di Souldrinker
Equipment/&Enchanted_Quarterstaff_Stormblade_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Ãˆ stata progettata da Galar Stromforge, il primo fabbro nanico a sfruttare il potere della tempesta in un'arma con effetti devastanti!
Equipment/&Enchanted_Quarterstaff_Stormblade_Title	Quarterstaff Stormblade
Equipment/&Enchanted_Quarterstaff_Warden_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Ãˆ stata progettata da Ildurial Strongarm, un famoso forgiatore di lame di Manacalon. La prima lama di questo tipo, il Manacalon Warden, fu offerta al comandante dell'Euraidd.
Equipment/&Enchanted_Quarterstaff_Warden_Title	Quarterstaff del Warden
Equipment/&Enchanted_Quarterstaff_Whiteburn_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Whiteburn fu creato dal primo Danantar per combattere un'invasione di troll proveniente dalle paludi a sud del suo dominio, tra il Sioltafin e lo Scarafin.
Equipment/&Enchanted_Quarterstaff_Whiteburn_Title	Quarterstaff di Whiteburn
Equipment/&Enchanted_Rapier_Dragonblade_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Ãˆ stata progettata da Lestoreth Steelarm per combattere nel gelido Nord dell'Impero.
Equipment/&Enchanted_Rapier_Dragonblade_Title	Rapier a lama di drago
Equipment/&Enchanted_Rapier_Frostburn_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Fu progettata da Keliandir Moltenheart, che la forgiÃ² per combattere le salamandre dopo un'esplorazione dei piani elementali andata male.
Equipment/&Enchanted_Rapier_Frostburn_Title	Arpione di Frostburn
Equipment/&Enchanted_Rapier_Lightbringer_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri fabbri di Colthannin. Ãˆ stata progettata da Elgador Keenspirit, mago dell'Arcaneum, per sostenere i combattimenti contro le creature non morte.
Equipment/&Enchanted_Rapier_Lightbringer_Title	Rapier del Portatore di Luce
Equipment/&Enchanted_Rapier_Power_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Alcune creature rispettano solo la forza fisica. Gli arcanisti di Manacalon crearono questo Rapier per dare ai campioni delle Legioni di Ferro la forza che i loro corpi elfici non fornivano.
Equipment/&Enchanted_Rapier_Power_Title	Rapier del Potere
Equipment/&Enchanted_Rapier_Souldrinker_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Preferita dagli agenti del Sussurro Silenzioso, quest'arma Ã¨ stata progettata da Cylordir Redblade.
Equipment/&Enchanted_Rapier_Souldrinker_Title	Rapier Souldrinker
Equipment/&Enchanted_Rapier_Stormblade_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Ãˆ stata progettata da Galar Stromforge, il primo fabbro nanico a sfruttare il potere della tempesta in un'arma con effetti devastanti!
Equipment/&Enchanted_Rapier_Stormblade_Title	Rapier Stormblade
Equipment/&Enchanted_Rapier_Warden_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Ãˆ stata progettata da Ildurial Strongarm, un famoso forgiatore di lame di Manacalon. La prima lama di questo tipo, il Manacalon Warden, fu offerta al comandante dell'Euraidd.
Equipment/&Enchanted_Rapier_Warden_Title	Corazza del guardiano
Equipment/&Enchanted_Rapier_Whiteburn_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Whiteburn fu creato dal primo Danantar per combattere un'invasione di troll proveniente dalle paludi a sud del suo dominio, tra il Sioltafin e lo Scarafin.
Equipment/&Enchanted_Rapier_Whiteburn_Title	Arpione di Whiteburn
Equipment/&Enchanted_Scimitar_Dragonblade_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Ãˆ stata progettata da Lestoreth Steelarm per combattere nel gelido Nord dell'Impero.
Equipment/&Enchanted_Scimitar_Dragonblade_Title	Scimitarra a lama di drago
Equipment/&Enchanted_Scimitar_Frostburn_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Fu progettata da Keliandir Moltenheart, che la forgiÃ² per combattere le salamandre dopo un'esplorazione dei piani elementali andata male.
Equipment/&Enchanted_Scimitar_Frostburn_Title	Scimitarra del gelo
Equipment/&Enchanted_Scimitar_Lightbringer_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri fabbri di Colthannin. Ãˆ stata progettata da Elgador Keenspirit, Mago dell'Arcaneum, per sostenere i combattimenti contro le creature non morte.
Equipment/&Enchanted_Scimitar_Lightbringer_Title	Scimitarra del Portatore di Luce
Equipment/&Enchanted_Scimitar_Souldrinker_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Preferita dagli agenti di Silent Whisper, quest'arma Ã¨ stata progettata da Cylordir Redblade.
Equipment/&Enchanted_Scimitar_Souldrinker_Title	Scimitarra Souldrinker
Equipment/&Enchanted_Scimitar_Stormblade_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Ãˆ stata progettata da Galar Stromforge, il primo fabbro nanico a sfruttare il potere della tempesta in un'arma con effetti devastanti!
Equipment/&Enchanted_Scimitar_Stormblade_Title	Scimitarra Stormblade
Equipment/&Enchanted_Scimitar_Warden_Description	Quest'arma incantata Ã¨ stata forgiata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Ãˆ stata progettata da Ildurial Strongarm, un famoso forgiatore di lame di Manacalon. La prima lama di questo tipo, la Manacalon Warden, fu offerta al comandante dell'Euraidd.
Equipment/&Enchanted_Scimitar_Warden_Title	Scimitarra Warden
Equipment/&Enchanted_Scimitar_Whiteburn_Description	Quest'arma incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri fabbri di Manacalon. Whiteburn fu creata dal primo Danantar per combattere un'invasione di troll proveniente dalle paludi a sud del suo dominio, tra il Sioltafin e lo Scarafin.
Equipment/&Enchanted_Scimitar_Whiteburn_Title	Scimitarra di Whiteburn
Equipment/&Enchanted_Shield_Deflection_Description	Questa armatura incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri armaioli di Manacalon. Ildurial Stronghand forgiÃ² la prima di queste armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_Shield_Deflection_Title	Scudo della Deviazione
Equipment/&Enchanted_Shield_FlameDancing_Description	Questa armatura incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri armaioli di Manacalon. Ildurial Stronghand forgiÃ² la prima di queste armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_Shield_FlameDancing_Title	Scudo della Danza delle Fiamme
Equipment/&Enchanted_Shield_FrostWalking_Description	Questa armatura incantata Ã¨ stata creata utilizzando le antiche conoscenze dei maestri armaioli di Manacalon. Ildurial Stronghand forgiÃ² la prima di queste armature per la guardia personale dell'Imperatore.
