ActionAffinity/&DHFeeblemindSpellDescription	Unable to cast spells.
Equipment/&Enchanted_Maul_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master smiths. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures.
Equipment/&Enchanted_Maul_Lightbringer_Title	Lightbringer Maul
Equipment/&Enchanted_Maul_Power_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. Some creatures only respect physical strengths. Manacalon arcanists created this Maul to give champions of the Iron Legions the strength their elven bodies didn't provide.
Equipment/&Enchanted_Maul_Power_Title	Maul of Power
Equipment/&Enchanted_Maul_Punisher_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. The combination of the best metal and Slavestone gave this axe incredible piercing power.
Equipment/&Enchanted_Maul_Punisher_Title	Punisher Maul
Equipment/&Enchanted_Quarterstaff_Acuteness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Quarterstaff_Acuteness_Title	Quarterstaff of Acuteness
Equipment/&Enchanted_Quarterstaff_Dragonblade_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. It was designed by Lestoreth Steelarm to fight in the frozen North of the Empire.
Equipment/&Enchanted_Quarterstaff_Dragonblade_Title	Dragonblade Quarterstaff
Equipment/&Enchanted_Quarterstaff_Frostburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. It was designed by Keliandir Moltenheart, who forged this weapon to fight salamanders after an exploration of the elemental planes went awry.
Equipment/&Enchanted_Quarterstaff_Frostburn_Title	Frostburn Quarterstaff
Equipment/&Enchanted_Quarterstaff_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master smiths. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures.
Equipment/&Enchanted_Quarterstaff_Lightbringer_Title	Lightbringer Quarterstaff
Equipment/&Enchanted_Quarterstaff_Souldrinker_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. A favorite of Silent Whisper agents, this weapon was designed by Cylordir Redblade.
Equipment/&Enchanted_Quarterstaff_Souldrinker_Title	Souldrinker Quarterstaff
Equipment/&Enchanted_Quarterstaff_Stormblade_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. It was designed by Galar Stromforge, the first dwarven smith to harness the power of storm in a weapon to devastating effect!
Equipment/&Enchanted_Quarterstaff_Stormblade_Title	Stormblade Quarterstaff
Equipment/&Enchanted_Quarterstaff_Warden_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. It was designed by Ildurial Strongarm, a famous Manacalon bladesmith. The first such blade, the Manacalon Warden, was offered to the commander of the Euraidd.
Equipment/&Enchanted_Quarterstaff_Warden_Title	Warden Quarterstaff
Equipment/&Enchanted_Quarterstaff_Whiteburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Whiteburn was created by the first Danantar to fight a troll invasion coming from the swamps to the south of his domain between the Sioltafin and the Scarafin.
Equipment/&Enchanted_Quarterstaff_Whiteburn_Title	Whiteburn Quarterstaff
Equipment/&Enchanted_Rapier_Dragonblade_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. It was designed by Lestoreth Steelarm to fight in the frozen North of the Empire.
Equipment/&Enchanted_Rapier_Dragonblade_Title	Dragonblade Rapier
Equipment/&Enchanted_Rapier_Frostburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. It was designed by Keliandir Moltenheart, who forged this weapon to fight salamanders after an exploration of the elemental planes went awry.
Equipment/&Enchanted_Rapier_Frostburn_Title	Frostburn Rapier
Equipment/&Enchanted_Rapier_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master smiths. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures.
Equipment/&Enchanted_Rapier_Lightbringer_Title	Lightbringer Rapier
Equipment/&Enchanted_Rapier_Power_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. Some creatures only respect physical strengths. Manacalon arcanists created this Rapier to give champions of the Iron Legions the strength their elven bodies didn't provide.
Equipment/&Enchanted_Rapier_Power_Title	Rapier of Power
Equipment/&Enchanted_Rapier_Souldrinker_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. A favorite of Silent Whisper agents, this weapon was designed by Cylordir Redblade.
Equipment/&Enchanted_Rapier_Souldrinker_Title	Souldrinker Rapier
Equipment/&Enchanted_Rapier_Stormblade_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. It was designed by Galar Stromforge, the first dwarven smith to harness the power of storm in a weapon to devastating effect!
Equipment/&Enchanted_Rapier_Stormblade_Title	Stormblade Rapier
Equipment/&Enchanted_Rapier_Warden_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. It was designed by Ildurial Strongarm, a famous Manacalon bladesmith. The first such blade, the Manacalon Warden, was offered to the commander of the Euraidd.
Equipment/&Enchanted_Rapier_Warden_Title	Warden Rapier
Equipment/&Enchanted_Rapier_Whiteburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Whiteburn was created by the first Danantar to fight a troll invasion coming from the swamps to the south of his domain between the Sioltafin and the Scarafin.
Equipment/&Enchanted_Rapier_Whiteburn_Title	Whiteburn Rapier
Equipment/&Enchanted_Scimitar_Dragonblade_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. It was designed by Lestoreth Steelarm to fight in the frozen North of the Empire.
Equipment/&Enchanted_Scimitar_Dragonblade_Title	Dragonblade Scimitar
Equipment/&Enchanted_Scimitar_Frostburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. It was designed by Keliandir Moltenheart, who forged this weapon to fight salamanders after an exploration of the elemental planes went awry.
Equipment/&Enchanted_Scimitar_Frostburn_Title	Frostburn Scimitar
Equipment/&Enchanted_Scimitar_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master smiths. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures.
Equipment/&Enchanted_Scimitar_Lightbringer_Title	Lightbringer Scimitar
Equipment/&Enchanted_Scimitar_Souldrinker_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. A favorite of Silent Whisper agents, this weapon was designed by Cylordir Redblade.
Equipment/&Enchanted_Scimitar_Souldrinker_Title	Souldrinker Scimitar
Equipment/&Enchanted_Scimitar_Stormblade_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. It was designed by Galar Stromforge, the first dwarven smith to harness the power of storm in a weapon to devastating effect!
Equipment/&Enchanted_Scimitar_Stormblade_Title	Stormblade Scimitar
Equipment/&Enchanted_Scimitar_Warden_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. It was designed by Ildurial Strongarm, a famous Manacalon bladesmith. The first such blade, the Manacalon Warden, was offered to the commander of the Euraidd.
Equipment/&Enchanted_Scimitar_Warden_Title	Warden Scimitar
Equipment/&Enchanted_Scimitar_Whiteburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Whiteburn was created by the first Danantar to fight a troll invasion coming from the swamps to the south of his domain between the Sioltafin and the Scarafin.
Equipment/&Enchanted_Scimitar_Whiteburn_Title	Whiteburn Scimitar
Equipment/&Enchanted_Shield_Deflection_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_Shield_Deflection_Title	Shield of Deflection
Equipment/&Enchanted_Shield_FlameDancing_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_Shield_FlameDancing_Title	Shield of Flame Dancing
Equipment/&Enchanted_Shield_FrostWalking_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_Shield_FrostWalking_Title	Shield of Frost Walking
Equipment/&Enchanted_Shield_Robustness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_Shield_Robustness_Title	Shield of Robustness
Equipment/&Enchanted_Shield_Sturdiness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_Shield_Sturdiness_Title	Shield of Sturdiness
Equipment/&Enchanted_Shield_Survival_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_Shield_Survival_Title	Shield of Survival
Equipment/&Enchanted_Shield_Wooden_Deflection_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_Shield_Wooden_Deflection_Title	Wooden Shield of Deflection
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Title	Wooden Shield of Flame Dancing
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Title	Wooden Shield of Frost Walking
Equipment/&Enchanted_Shield_Wooden_Robustness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_Shield_Wooden_Robustness_Title	Wooden Shield of Robustness
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Title	Wooden Shield of Sturdiness
Equipment/&Enchanted_Shield_Wooden_Survival_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard.
Equipment/&Enchanted_Shield_Wooden_Survival_Title	Wooden Shield of Survival
Equipment/&Enchanted_Spear_Acuteness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum.
