ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços.
Equipment/&Enchanted_LeatherDruid_Robustness_Title	Couro Druida de Robustez
Equipment/&Enchanted_LeatherDruid_Sturdiness_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_LeatherDruid_Sturdiness_Title	Couro Druida de Robustez
Equipment/&Enchanted_LeatherDruid_Survival_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_LeatherDruid_Survival_Title	Couro Druida de Sobrevivência
Equipment/&Enchanted_LightCrossbow_Accuracy_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. Seu design original trazia o signo de Defineth Sharpsight, um renomado feiticeiro elfo silvestre.
Equipment/&Enchanted_LightCrossbow_Accuracy_Title	Besta de Precisão Light
Equipment/&Enchanted_LightCrossbow_Lightbringer_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. Ela foi projetada por Elgador Keenspirit, Magesmith do Arcano para apoiar o combate contra criaturas não-mortas.
Equipment/&Enchanted_LightCrossbow_Lightbringer_Title	Besta de Luz Lightbringer Light Crossbow
Equipment/&Enchanted_LightCrossbow_Medusa_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. A magia fundiu o coral medusa e a madeira dura para criar um arco mortal, favorecido pelas festas de bordo dos halflings da ilha.
Equipment/&Enchanted_LightCrossbow_Medusa_Title	Medusa Besta Leve
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. O Coedymwarth preferiu lidar com os arcanistas do Manacalon fisicamente em vez de magicamente. Seus melhores arqueiros receberam bestais, a criação do Defeth Sharpsight.
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Title	Besta de Arco Cruzado Leve de Sharpshooting
Equipment/&Enchanted_LightCrossbow_Stormbow_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres arqueiros de Colthannin. Ela foi projetada por Galar Stromforge, o primeiro ferreiro anão a aproveitar o poder da tempestade em uma arma com efeito devastador!
Equipment/&Enchanted_LightCrossbow_Stormbow_Title	Besta-de-Tormenta-leve
Equipment/&Enchanted_Maul_Acuteness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Maul_Acuteness_Title	Maul da Acuidade
Equipment/&Enchanted_Maul_Bearclaw_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. As pontas afiadas da garra do urso estilhaçavam a armadura para infligir danos adicionais. A primeira arma deste tipo foi projetada por Ildurial Stronghand.
Equipment/&Enchanted_Maul_Bearclaw_Title	Garra de urso Maul
Equipment/&Enchanted_Maul_Lightbringer_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Colthannin. Ela foi projetada por Elgador Keenspirit, Magesmith do Arcano para apoiar o combate contra criaturas não-mortas.
Equipment/&Enchanted_Maul_Lightbringer_Title	Maul Lightbringer Maul
Equipment/&Enchanted_Maul_Power_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Algumas criaturas respeitam apenas as forças físicas. Os arcanistas do Manacalon criaram este Maul para dar aos campeões das Legiões de Ferro a força que seus corpos elfos não proporcionavam.
Equipment/&Enchanted_Maul_Power_Title	Maul do Poder
Equipment/&Enchanted_Maul_Punisher_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. A combinação do melhor metal e da melhor pedra eslava deu a este machado um poder penetrante incrível.
Equipment/&Enchanted_Maul_Punisher_Title	Punidor Maul
Equipment/&Enchanted_Quarterstaff_Acuteness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Quarterstaff_Acuteness_Title	Quarteirões de Acuidade
Equipment/&Enchanted_Quarterstaff_Dragonblade_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Lestoreth Steelarm para lutar no Norte congelado do Império.
Equipment/&Enchanted_Quarterstaff_Dragonblade_Title	Dragão de Lâmina Quarterstaff
Equipment/&Enchanted_Quarterstaff_Frostburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Keliandir Moltenheart, que forjou esta arma para combater salamandras após uma exploração dos aviões elementais que se desviaram.
Equipment/&Enchanted_Quarterstaff_Frostburn_Title	Pessoal da Frostburn Quarterstaff
Equipment/&Enchanted_Quarterstaff_Lightbringer_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Colthannin. Ela foi projetada por Elgador Keenspirit, Magesmith do Arcano para apoiar o combate contra criaturas não-mortas.
Equipment/&Enchanted_Quarterstaff_Lightbringer_Title	Pessoal da Lightbringer Quarterstaff
Equipment/&Enchanted_Quarterstaff_Souldrinker_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Uma das favoritas dos agentes do Silent Whisper, esta arma foi projetada por Cylordir Redblade.
Equipment/&Enchanted_Quarterstaff_Souldrinker_Title	Pedestal Souldrinker
Equipment/&Enchanted_Quarterstaff_Stormblade_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Galar Stromforge, o primeiro ferreiro anão a aproveitar o poder da tempestade em uma arma com efeito devastador!
Equipment/&Enchanted_Quarterstaff_Stormblade_Title	Pessoal do Quarteirão Stormblade
Equipment/&Enchanted_Quarterstaff_Warden_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Foi projetada por Ildurial Strongarm, um famoso ferreiro Manacalon de lâminas. A primeira dessas lâminas, a Manacalon Warden, foi oferecida ao comandante do Euraidd.
Equipment/&Enchanted_Quarterstaff_Warden_Title	Quartel-general do diretor
Equipment/&Enchanted_Quarterstaff_Whiteburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Whiteburn foi criada pelo primeiro Danantar a combater uma invasão troll vinda dos pântanos ao sul de seu domínio entre os Sioltafin e os Scarafin.
Equipment/&Enchanted_Quarterstaff_Whiteburn_Title	Whiteburn Quarterstaff
Equipment/&Enchanted_Rapier_Dragonblade_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Lestoreth Steelarm para lutar no Norte congelado do Império.
Equipment/&Enchanted_Rapier_Dragonblade_Title	Rapier Lâmina de Dragão
Equipment/&Enchanted_Rapier_Frostburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Keliandir Moltenheart, que forjou esta arma para combater salamandras após uma exploração dos aviões elementais que se desviaram.
Equipment/&Enchanted_Rapier_Frostburn_Title	Rapier Frostburn
Equipment/&Enchanted_Rapier_Lightbringer_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Colthannin. Ela foi projetada por Elgador Keenspirit, Magesmith do Arcano para apoiar o combate contra criaturas não-mortas.
Equipment/&Enchanted_Rapier_Lightbringer_Title	Rapier Lightbringer
Equipment/&Enchanted_Rapier_Power_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Algumas criaturas respeitam apenas as forças físicas. Os arcanistas do Manacalon criaram este Rapier para dar aos campeões das Legiões de Ferro a força que seus corpos elfos não proporcionavam.
Equipment/&Enchanted_Rapier_Power_Title	Rapier do Poder
Equipment/&Enchanted_Rapier_Souldrinker_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Uma das favoritas dos agentes do Silent Whisper, esta arma foi projetada por Cylordir Redblade.
Equipment/&Enchanted_Rapier_Souldrinker_Title	Rapier Souldrinker
Equipment/&Enchanted_Rapier_Stormblade_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Galar Stromforge, o primeiro ferreiro anão a aproveitar o poder da tempestade em uma arma com efeito devastador!
Equipment/&Enchanted_Rapier_Stormblade_Title	Rapier Stormblade
Equipment/&Enchanted_Rapier_Warden_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Foi projetada por Ildurial Strongarm, um famoso ferreiro Manacalon de lâminas. A primeira dessas lâminas, a Manacalon Warden, foi oferecida ao comandante do Euraidd.
Equipment/&Enchanted_Rapier_Warden_Title	O diretor Rapier
Equipment/&Enchanted_Rapier_Whiteburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Whiteburn foi criada pelo primeiro Danantar a combater uma invasão troll vinda dos pântanos ao sul de seu domínio entre os Sioltafin e os Scarafin.
Equipment/&Enchanted_Rapier_Whiteburn_Title	Whiteburn Rapier
Equipment/&Enchanted_Scimitar_Dragonblade_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Lestoreth Steelarm para lutar no Norte congelado do Império.
Equipment/&Enchanted_Scimitar_Dragonblade_Title	Cimitarra de Lâmina de Dragão
Equipment/&Enchanted_Scimitar_Frostburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Keliandir Moltenheart, que forjou esta arma para combater salamandras após uma exploração dos aviões elementais que se desviaram.
Equipment/&Enchanted_Scimitar_Frostburn_Title	Frostburn Scimitar
Equipment/&Enchanted_Scimitar_Lightbringer_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Colthannin. Ela foi projetada por Elgador Keenspirit, Magesmith do Arcano para apoiar o combate contra criaturas não-mortas.
Equipment/&Enchanted_Scimitar_Lightbringer_Title	Cimitarra Lightbringer
Equipment/&Enchanted_Scimitar_Souldrinker_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Uma das favoritas dos agentes do Silent Whisper, esta arma foi projetada por Cylordir Redblade.
Equipment/&Enchanted_Scimitar_Souldrinker_Title	Cimitarra Souldrinker
Equipment/&Enchanted_Scimitar_Stormblade_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Galar Stromforge, o primeiro ferreiro anão a aproveitar o poder da tempestade em uma arma com efeito devastador!
Equipment/&Enchanted_Scimitar_Stormblade_Title	Cimitarra Stormblade
Equipment/&Enchanted_Scimitar_Warden_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Foi projetada por Ildurial Strongarm, um famoso ferreiro Manacalon de lâminas. A primeira dessas lâminas, a Manacalon Warden, foi oferecida ao comandante do Euraidd.
Equipment/&Enchanted_Scimitar_Warden_Title	Cimitarra do diretor
Equipment/&Enchanted_Scimitar_Whiteburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Whiteburn foi criada pelo primeiro Danantar a combater uma invasão troll vinda dos pântanos ao sul de seu domínio entre os Sioltafin e os Scarafin.
Equipment/&Enchanted_Scimitar_Whiteburn_Title	Whiteburn Cimitarra
Equipment/&Enchanted_Shield_Deflection_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_Deflection_Title	Escudo de Deflexão
Equipment/&Enchanted_Shield_FlameDancing_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_FlameDancing_Title	Escudo de Dança de Chama
Equipment/&Enchanted_Shield_FrostWalking_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_FrostWalking_Title	Escudo de Frost Walking
Equipment/&Enchanted_Shield_Robustness_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_Robustness_Title	Escudo de Robustez
Equipment/&Enchanted_Shield_Sturdiness_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_Sturdiness_Title	Escudo de robustez
Equipment/&Enchanted_Shield_Survival_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_Survival_Title	Escudo de Sobrevivência
Equipment/&Enchanted_Shield_Wooden_Deflection_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_Wooden_Deflection_Title	Escudo de deflexão de madeira
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
