ActionAffinity/&DHFeeblemindSpellDescription	No puede lanzar hechizos.
Equipment/&Enchanted_LeatherDruid_Robustness_Description	Esta armadura encantada se creó utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_LeatherDruid_Robustness_Title	Cuero de druida de la robustez
Equipment/&Enchanted_LeatherDruid_Sturdiness_Description	Esta armadura encantada se creó utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del emperador.
Equipment/&Enchanted_LeatherDruid_Sturdiness_Title	Cuero de druida de la robustez
Equipment/&Enchanted_LeatherDruid_Survival_Description	Esta armadura encantada se creó utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del emperador.
Equipment/&Enchanted_LeatherDruid_Survival_Title	Cuero de druida de la supervivencia
Equipment/&Enchanted_LightCrossbow_Accuracy_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. Su diseño original llevaba el sello de Defineth Sharpsight, un renombrado encantador elfo silvano.
Equipment/&Enchanted_LightCrossbow_Accuracy_Title	Ballesta ligera de precisión
Equipment/&Enchanted_LightCrossbow_Lightbringer_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. Fue diseñada por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_LightCrossbow_Lightbringer_Title	Ballesta de luz Lightbringer
Equipment/&Enchanted_LightCrossbow_Medusa_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. La magia fundió el coral de medusa y la madera dura para crear un arco mortal, favorecido por las partidas de abordaje de los halflings de la isla.
Equipment/&Enchanted_LightCrossbow_Medusa_Title	Ballesta ligera de medusa
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. Los Coedymwarth preferían enfrentarse a los arqueros de Manacalon físicamente en lugar de mágicamente. Sus mejores arqueros recibieron ballestas, creación de Defineth Sharpsight.
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Title	Ballesta ligera de puntería
Equipment/&Enchanted_LightCrossbow_Stormbow_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros arqueros de Colthannin. Fue diseñada por Galar Stromforge, el primer herrero enano que aprovechó el poder de la tormenta en un arma con un efecto devastador.
Equipment/&Enchanted_LightCrossbow_Stormbow_Title	Arco de tormenta ligero
Equipment/&Enchanted_Maul_Acuteness_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Maul_Acuteness_Title	Mazo de la agudeza
Equipment/&Enchanted_Maul_Bearclaw_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Los afilados pinchos de la garra del oso destrozan la armadura para infligir daño adicional. La primera arma de este tipo fue diseñada por Ildurial Stronghand.
Equipment/&Enchanted_Maul_Bearclaw_Title	Mazo de garras de oso
Equipment/&Enchanted_Maul_Lightbringer_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros herreros de Colthannin. Fue diseñada por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_Maul_Lightbringer_Title	Mazo de los Portadores de Luz
Equipment/&Enchanted_Maul_Power_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Algunas criaturas sólo respetan las fuerzas físicas. Los arcanistas de Manacalon crearon este Maul para dar a los campeones de las Legiones de Hierro la fuerza que sus cuerpos élficos no les proporcionaban.
Equipment/&Enchanted_Maul_Power_Title	Maul de poder
Equipment/&Enchanted_Maul_Punisher_Description	Esta arma encantada se creó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. La combinación del mejor metal y la piedra eslava proporcionó a esta hacha un increíble poder de perforación.
Equipment/&Enchanted_Maul_Punisher_Title	Mazo castigador
Equipment/&Enchanted_Quarterstaff_Acuteness_Description	Esta arma encantada se creó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Su diseño fue uno de los primeros trabajos de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Quarterstaff_Acuteness_Title	Báculo de agudeza
Equipment/&Enchanted_Quarterstaff_Dragonblade_Description	Esta arma encantada se creó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseñada por Lestoreth Steelarm para luchar en el norte helado del Imperio.
Equipment/&Enchanted_Quarterstaff_Dragonblade_Title	Báculo de hoja de dragón
Equipment/&Enchanted_Quarterstaff_Frostburn_Description	Esta arma encantada fue creada con los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseñada por Keliandir Moltenheart, que forjó esta arma para luchar contra las salamandras después de que una exploración de los planos elementales se torciera.
Equipment/&Enchanted_Quarterstaff_Frostburn_Title	Báculo de Quemadura de Escarcha
Equipment/&Enchanted_Quarterstaff_Lightbringer_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros herreros de Colthannin. Fue diseñada por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_Quarterstaff_Lightbringer_Title	Báculo de los Portadores de Luz
Equipment/&Enchanted_Quarterstaff_Souldrinker_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Esta arma, una de las favoritas de los agentes de Silent Whisper, fue diseñada por Cylordir Redblade.
Equipment/&Enchanted_Quarterstaff_Souldrinker_Title	Báculo del herrero
Equipment/&Enchanted_Quarterstaff_Stormblade_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseñada por Galar Stromforge, el primer herrero enano que aprovechó el poder de la tormenta en un arma con un efecto devastador.
Equipment/&Enchanted_Quarterstaff_Stormblade_Title	Báculo de tormenta
Equipment/&Enchanted_Quarterstaff_Warden_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseñada por Ildurial Strongarm, un famoso herrero de Manacalon. La primera hoja de este tipo, el Guardián de Manacalon, se ofreció al comandante de los Euraidd.
Equipment/&Enchanted_Quarterstaff_Warden_Title	Báculo del Guardián
Equipment/&Enchanted_Quarterstaff_Whiteburn_Description	Esta arma encantada se creó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. La Quemadura Blanca fue creada por el primer Danantar para luchar contra una invasión de trolls procedente de los pantanos al sur de sus dominios, entre el Sioltafin y el Scarafin.
Equipment/&Enchanted_Quarterstaff_Whiteburn_Title	Báculo de Quemadura Blanca
Equipment/&Enchanted_Rapier_Dragonblade_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseñada por Lestoreth Steelarm para luchar en el norte helado del Imperio.
Equipment/&Enchanted_Rapier_Dragonblade_Title	Estoque de hoja de dragón
Equipment/&Enchanted_Rapier_Frostburn_Description	Esta arma encantada se creó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseñada por Keliandir Moltenheart, que forjó esta arma para luchar contra las salamandras después de que una exploración de los planos elementales se torciera.
Equipment/&Enchanted_Rapier_Frostburn_Title	Estoque de quemadura de escarcha
Equipment/&Enchanted_Rapier_Lightbringer_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros herreros de Colthannin. Fue diseñada por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_Rapier_Lightbringer_Title	Estoque Lightbringer
Equipment/&Enchanted_Rapier_Power_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Algunas criaturas sólo respetan las fuerzas físicas. Los arcanistas de Manacalon crearon este estoque para dar a los campeones de las Legiones de Hierro la fuerza que sus cuerpos élficos no les proporcionaban.
Equipment/&Enchanted_Rapier_Power_Title	Estoque de poder
Equipment/&Enchanted_Rapier_Souldrinker_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Esta arma, una de las favoritas de los agentes de Silent Whisper, fue diseñada por Cylordir Redblade.
Equipment/&Enchanted_Rapier_Souldrinker_Title	Estoque de los "Souldrinker
Equipment/&Enchanted_Rapier_Stormblade_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseñada por Galar Stromforge, el primer herrero enano que aprovechó el poder de la tormenta en un arma con un efecto devastador.
Equipment/&Enchanted_Rapier_Stormblade_Title	Estoque de hoja de tormenta
Equipment/&Enchanted_Rapier_Warden_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseñada por Ildurial Strongarm, un famoso herrero de Manacalon. La primera hoja de este tipo, el Guardián de Manacalon, se ofreció al comandante de los Euraidd.
Equipment/&Enchanted_Rapier_Warden_Title	Estoque del Guardián
Equipment/&Enchanted_Rapier_Whiteburn_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. La Quemadura Blanca fue creada por el primer Danantar para luchar contra una invasión de trolls procedente de los pantanos al sur de sus dominios, entre el Sioltafin y el Scarafin.
Equipment/&Enchanted_Rapier_Whiteburn_Title	Estoque de Quemadura Blanca
Equipment/&Enchanted_Scimitar_Dragonblade_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseñada por Lestoreth Steelarm para luchar en el norte helado del Imperio.
Equipment/&Enchanted_Scimitar_Dragonblade_Title	Cimitarra Hoja de Dragón
Equipment/&Enchanted_Scimitar_Frostburn_Description	Esta arma encantada se creó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseñada por Keliandir Moltenheart, que forjó esta arma para luchar contra las salamandras después de que una exploración de los planos elementales se torciera.
Equipment/&Enchanted_Scimitar_Frostburn_Title	Cimitarra de la Quemadura de Escarcha
Equipment/&Enchanted_Scimitar_Lightbringer_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros herreros de Colthannin. Fue diseñada por Elgador Keenspirit, Magesmith of the Arcaneum para apoyar el combate contra criaturas no muertas.
Equipment/&Enchanted_Scimitar_Lightbringer_Title	Cimitarra Lightbringer
Equipment/&Enchanted_Scimitar_Souldrinker_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Esta arma, una de las favoritas de los agentes de Silent Whisper, fue diseñada por Cylordir Redblade.
Equipment/&Enchanted_Scimitar_Souldrinker_Title	Cimitarra Souldrinker
Equipment/&Enchanted_Scimitar_Stormblade_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseñada por Galar Stromforge, el primer herrero enano que aprovechó el poder de la tormenta en un arma con un efecto devastador.
Equipment/&Enchanted_Scimitar_Stormblade_Title	Cimitarra de las Tormentas
Equipment/&Enchanted_Scimitar_Warden_Description	Esta arma encantada se forjó utilizando los antiguos conocimientos de los maestros herreros de Manacalon. Fue diseñada por Ildurial Strongarm, un famoso herrero de Manacalon. La primera hoja de este tipo, la Cimitarra del Guardián de Manacalon, se ofreció al comandante de los Euraidd.
Equipment/&Enchanted_Scimitar_Warden_Title	Cimitarra del Guardián
Equipment/&Enchanted_Scimitar_Whiteburn_Description	Esta arma encantada fue creada utilizando los antiguos conocimientos de los maestros herreros de Manacalon. La Quemablanca fue creada por el primer Danantar para luchar contra una invasión de trolls procedente de los pantanos situados al sur de sus dominios, entre el Sioltafin y el Scarafin.
Equipment/&Enchanted_Scimitar_Whiteburn_Title	Cimitarra Quemiblanca
Equipment/&Enchanted_Shield_Deflection_Description	Esta armadura encantada fue creada utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_Shield_Deflection_Title	Escudo de desviación
Equipment/&Enchanted_Shield_FlameDancing_Description	Esta armadura encantada se creó utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del emperador.
Equipment/&Enchanted_Shield_FlameDancing_Title	Escudo de la Danza de la Llama
Equipment/&Enchanted_Shield_FrostWalking_Description	Esta armadura encantada se creó utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del emperador.
Equipment/&Enchanted_Shield_FrostWalking_Title	Escudo de la marcha de la escarcha
Equipment/&Enchanted_Shield_Robustness_Description	Esta armadura encantada se creó utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del Emperador.
Equipment/&Enchanted_Shield_Robustness_Title	Escudo de robustez
Equipment/&Enchanted_Shield_Sturdiness_Description	Esta armadura encantada se creó utilizando los antiguos conocimientos de los maestros armeros de Manacalon. Ildurial Stronghand forjó la primera de esas armaduras para la guardia personal del emperador.
