ActionAffinity/&DHFeeblemindSpellDescription	Невозможно использовать заклинания
Monster/&PactOfChainCustomPseudodragonDescription	Неуловимый псевдодракон обитает в тихих уголках мира, устраивая себе дом в дуплах деревьев и небольших пещерах. Псевдодракон с его зеленой чешуей, рогами и пастью, полной острых зубов, напоминает крошечного зеленого дракона, но имеет игривый нрав.
Monster/&PactOfChainCustomPseudodragonTitle	Псевдодракон
Monster/&PactOfChainCustomQuasitDescription	Квазиты наводняют Нижние Планы. Физически слабые, они держатся в тени, чтобы замышлять зло и зло. Более могущественные демоны используют квазитов в качестве шпионов и посланников, когда они не пожирают их и не разрывают на части, чтобы скоротать время.
Monster/&PactOfChainCustomQuasitTitle	Квазит (Пакт цепи)
Monster/&PactOfChainCustomSpriteDescription	В отличие от пикси, спрайты редко предаются легкомысленному веселью и веселью. Они стойкие воины, защитники и судьи, и их суровый характер заставляет других фейри считать их чересчур суровыми и серьезными. Однако фейри, уважающие территорию эльфов, находят в них верных союзников в трудные времена.
Monster/&PactOfChainCustomSpriteTitle	Спрайт (Пакт Цепи)
Monster/&WitchOwlFamiliarDescription	Сова фамильяр
Monster/&WitchOwlFamiliarTitle	Сова
MonsterAttack/&AttackWarlockDragonStingDescription	1d4 Колющий урон и цель должна пройти спасбросок Телосложения Сл 11 или стать отравленной.
MonsterAttack/&AttackWarlockDragonStingTitle	Ядовитое жало
MonsterAttack/&AttackWarlockImpStingDescription	Ядовитый укус беса
MonsterAttack/&AttackWarlockImpStingTitle	Ядовитое жало
MonsterAttack/&AttackWarlockQuasitStingTitle	Ядовитое жало
