ActionAffinity/&DHFeeblemindSpellDescription	Unfähig zu zaubern
Equipment/&Enchanted_LightCrossbow_Lightbringer_Title	Lichtbringer-Lichtarmbrust
Equipment/&Enchanted_LightCrossbow_Medusa_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterbogenbauer von Colthannin geschmiedet. Durch Magie wurden Medusen-Korallen und Hartholz zu einem tödlichen Bogen verschmolzen, der von den Enterkommandos der Halblinge der Insel bevorzugt wird.
Equipment/&Enchanted_LightCrossbow_Medusa_Title	Medusa-Leicht-Armbrust
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterbogenbauer von Colthannin geschmiedet. Die Coedymwarth zogen es vor, sich mit Manacalons Arkanisten physisch statt magisch auseinanderzusetzen. Ihre besten Bogenschützen erhielten Armbrüste, die von Defineth Sharpsight geschaffen wurden.
Equipment/&Enchanted_LightCrossbow_Sharpshooting_Title	Leichte Armbrust des Scharfschützen
Equipment/&Enchanted_LightCrossbow_Stormbow_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterbogenschützen von Colthannin geschmiedet. Sie wurde von Galar Stromforge entworfen, dem ersten zwergischen Schmied, der die Macht des Sturms in einer Waffe nutzbar machte � mit verheerender Wirkung!
Equipment/&Enchanted_LightCrossbow_Stormbow_Title	Leichte Sturmarmbrust
Equipment/&Enchanted_Maul_Acuteness_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen und ist eines seiner ersten Werke.
Equipment/&Enchanted_Maul_Acuteness_Title	Maul der Schärfe
Equipment/&Enchanted_Maul_Bearclaw_Description	Diese verzauberte Waffe wurde nach dem alten Wissen der Meisterschmiede Manacalons geschmiedet. Die scharfen Stacheln der Bärenklaue zerfetzen die Rüstung und fügen zusätzlichen Schaden zu � genau wie von Ildurial Stronghand erwartet, der die erste Waffe dieser Art entworfen hat.
Equipment/&Enchanted_Maul_Bearclaw_Title	Bärenklauen-Maul
Equipment/&Enchanted_Maul_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Colthannin geschmiedet. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
Equipment/&Enchanted_Maul_Lightbringer_Title	Lichtbringer-Maul
Equipment/&Enchanted_Maul_Power_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede von Manacalon geschmiedet. Manche Kreaturen respektieren nur körperliche Stärke. Die Arkanisten Manacalons schufen diesen Stab, um den Champions der Eisernen Legionen die Stärke zu verleihen, die ihre elfischen Körper nicht bieten können.
Equipment/&Enchanted_Maul_Power_Title	Maul der Macht
Equipment/&Enchanted_Maul_Punisher_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede Manacalons geschaffen. Die Kombination aus bestem Metall und Slawenstein verleiht dieser Axt eine unglaubliche Durchschlagskraft.
Equipment/&Enchanted_Maul_Punisher_Title	Punisher Maul
Equipment/&Enchanted_Quarterstaff_Acuteness_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede Manacalons geschaffen. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen und ist eines seiner ersten Werke.
Equipment/&Enchanted_Quarterstaff_Acuteness_Title	Viertelstab der Schärfe
Equipment/&Enchanted_Quarterstaff_Dragonblade_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Er wurde von Lestoreth Steelarm für den Kampf im eisigen Norden des Reiches entworfen.
Equipment/&Enchanted_Quarterstaff_Dragonblade_Title	Drachenklingen-Vierstelstab
Equipment/&Enchanted_Quarterstaff_Frostburn_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede Manacalons erschaffen. Er wurde von Keliandir Moltenheart entworfen, der diese Waffe schmiedete, um Salamander zu bekämpfen, nachdem eine Erkundung der Elementarebenen schiefgegangen war.
Equipment/&Enchanted_Quarterstaff_Frostburn_Title	Frostbrennender Viertelstab
Equipment/&Enchanted_Quarterstaff_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Colthannin geschmiedet. Er wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
Equipment/&Enchanted_Quarterstaff_Lightbringer_Title	Lichtbringer-Viertelstab
Equipment/&Enchanted_Quarterstaff_Souldrinker_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede von Manacalon geschaffen. Diese Waffe wurde von Cylordir Redblade entworfen und ist bei den Agenten von Silent Whisper sehr beliebt.
Equipment/&Enchanted_Quarterstaff_Souldrinker_Title	Souldrinker-Viertelstab
Equipment/&Enchanted_Quarterstaff_Stormblade_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschmiedet. Er wurde von Galar Stromforge entworfen, dem ersten zwergischen Schmied, der die Macht des Sturms in einer Waffe nutzbar machte � mit verheerender Wirkung!
Equipment/&Enchanted_Quarterstaff_Stormblade_Title	Sturmblatt-Vierstelstab
Equipment/&Enchanted_Quarterstaff_Warden_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede Manacalons geschmiedet. Er wurde von Ildurial Strongarm, einem berühmten Klingenschmied Manacalons, entworfen. Die erste Klinge dieser Art, der Manacalon-Wächter, wurde dem Kommandanten der Euraidd angeboten.
Equipment/&Enchanted_Quarterstaff_Warden_Title	Wächter-Vierstelstab
Equipment/&Enchanted_Quarterstaff_Whiteburn_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Whiteburn wurde vom ersten Danantar erschaffen, um eine Trollinvasion zu bekämpfen, die aus den Sümpfen im Süden seiner Domäne zwischen Sioltafin und Scarafin kam.
Equipment/&Enchanted_Quarterstaff_Whiteburn_Title	Whiteburn-Quarterstaff
Equipment/&Enchanted_Scimitar_Dragonblade_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Manacalon geschaffen. Er wurde von Lestoreth Steelarm für den Kampf im eisigen Norden des Reiches entworfen.
Equipment/&Enchanted_Scimitar_Dragonblade_Title	Drachenklingen-Säbel
Equipment/&Enchanted_Scimitar_Frostburn_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede Manacalons erschaffen. Sie wurde von Keliandir Moltenheart entworfen, der diese Waffe schmiedete, um Salamander zu bekämpfen, nachdem eine Erkundung der Elementarebenen schiefgegangen war.
Equipment/&Enchanted_Scimitar_Frostburn_Title	Frostbrennender Krummsäbel
Equipment/&Enchanted_Scimitar_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister von Colthannin geschmiedet. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
Equipment/&Enchanted_Scimitar_Lightbringer_Title	Lichtbringer-Krummsäbel
Equipment/&Enchanted_Scimitar_Souldrinker_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede von Manacalon geschaffen. Diese Waffe wurde von Cylordir Redblade entworfen und ist bei den Agenten von Silent Whisper sehr beliebt.
Equipment/&Enchanted_Scimitar_Souldrinker_Title	Souldrinker-Krummsäbel
Equipment/&Enchanted_Scimitar_Stormblade_Description	Diese verzauberte Waffe wurde nach dem alten Wissen der Meisterschmiede Manacalons geschmiedet. Sie wurde von Galar Stromforge entworfen, dem ersten zwergischen Schmied, der die Macht des Sturms in einer Waffe nutzbar machte � mit verheerender Wirkung!
Equipment/&Enchanted_Scimitar_Stormblade_Title	Sturmblatt-Säbel
Equipment/&Enchanted_Scimitar_Warden_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede Manacalons geschmiedet. Sie wurde von Ildurial Strongarm, einem berühmten Klingenschmied Manacalons, entworfen. Die erste Klinge dieser Art, der Manacalon Warden, wurde dem Kommandanten der Euraidd angeboten.
Equipment/&Enchanted_Scimitar_Warden_Title	Krummsäbel des Wächters
Equipment/&Enchanted_Scimitar_Whiteburn_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Whiteburn wurde vom ersten Danantar erschaffen, um eine Trollinvasion zu bekämpfen, die aus den Sümpfen im Süden seiner Domäne zwischen Sioltafin und Scarafin kam.
Equipment/&Enchanted_Scimitar_Whiteburn_Title	Krummsäbel von Whiteburn
Equipment/&Enchanted_Shield_Deflection_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmieden geschaffen. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die persönliche Garde des Kaisers.
Equipment/&Enchanted_Shield_Deflection_Title	Schild der Ablenkung
Equipment/&Enchanted_Shield_FlameDancing_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_Shield_FlameDancing_Title	Schild des Flammentanzes
Equipment/&Enchanted_Shield_FrostWalking_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_Shield_FrostWalking_Title	Schild des Frostgangs
Equipment/&Enchanted_Shield_Robustness_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_Shield_Robustness_Title	Schild der Robustheit
Equipment/&Enchanted_Shield_Sturdiness_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Meisterschmiede Manacalons hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_Shield_Sturdiness_Title	Schild der Widerstandsfähigkeit
Equipment/&Enchanted_Shield_Survival_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_Shield_Survival_Title	Schild des Überlebens
Equipment/&Enchanted_Shield_Wooden_Deflection_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_Shield_Wooden_Deflection_Title	Hölzerner Schild der Ablenkung
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Title	Hölzerner Schild des Flammentanzes
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Title	Hölzerner Schild des Frostgangs
Equipment/&Enchanted_Shield_Wooden_Robustness_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_Shield_Wooden_Robustness_Title	Hölzerner Schild der Robustheit
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen der Meisterschmiede Manacalons hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Title	Hölzerner Schild der Widerstandsfähigkeit
Equipment/&Enchanted_Shield_Wooden_Survival_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_Shield_Wooden_Survival_Title	Hölzerner Schild des Überlebens
Equipment/&Enchanted_Spear_Acuteness_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Sein Design ist eines der frühen Werke von Elgador Keenspirit, dem Magierschmied des Arcaneums.
Equipment/&Enchanted_Spear_Acuteness_Title	Speer der Schärfe
Equipment/&Enchanted_Spear_BlackViper_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede Manacalons geschmiedet, wobei ein Speer und das Gift einer legendären Spinne aus den Tiefen Solastas verwendet wurden. Die Klinge wurde von Grigg Blackheart entworfen, einem berüchtigten Halblingschmied aus dem Sumpf, der in den Schmieden von Aer Elai arbeitete.
Equipment/&Enchanted_Spear_BlackViper_Title	Schwarzer Viperspeer
Equipment/&Enchanted_Spear_Doomblade_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede von Manacalon geschmiedet. Kenaloth Darkmind entwickelte die Schicksalsklingen als Werkzeug zur Bestrafung derjenigen, die sich der Magie des Imperiums widersetzten.
Equipment/&Enchanted_Spear_Doomblade_Title	Schicksalsklingen-Speer
Equipment/&Enchanted_Spear_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede von Colthannin geschmiedet. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
Equipment/&Enchanted_Spear_Lightbringer_Title	Lichtbringer-Speer
Equipment/&Enchanted_Spear_Sharpness_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede von Manacalon geschaffen. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arkaneums, entworfen und ist eines seiner ersten Werke.
Equipment/&Enchanted_Spear_Sharpness_Title	Speer der Schärfe
Equipment/&Enchanted_Spear_Stormblade_Title	Sturmblatt-Speer
Equipment/&Enchanted_Spear_Whiteburn_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Schmiedemeister Manacalons geschaffen. Whiteburn wurde vom ersten Danantar erschaffen, um eine Trollinvasion zu bekämpfen, die aus den Sümpfen im Süden seiner Domäne zwischen Sioltafin und Scarafin kam.
Equipment/&Enchanted_Spear_Whiteburn_Title	Whiteburn-Speer
Equipment/&Enchanted_StuddedLeather_Deflection_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmieden geschaffen. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibgarde des Imperators.
Equipment/&Enchanted_StuddedLeather_Deflection_Title	Nietenleder der Ablenkung
Equipment/&Enchanted_StuddedLeather_FlameDancing_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_StuddedLeather_FlameDancing_Title	Nietenleder des Flammentanzes
Equipment/&Enchanted_StuddedLeather_FrostWalking_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_StuddedLeather_FrostWalking_Title	Bespicktes Leder des Frostspaziergangs
Equipment/&Enchanted_StuddedLeather_Robustness_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_StuddedLeather_Robustness_Title	Nietenleder der Robustheit
Equipment/&Enchanted_StuddedLeather_Sturdiness_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_StuddedLeather_Sturdiness_Title	Nietenleder der Festigkeit
Equipment/&Enchanted_StuddedLeather_Survival_Description	Diese verzauberte Rüstung wurde mit dem uralten Wissen von Manacalons Waffenschmiedemeistern hergestellt. Ildurial Stronghand schmiedete die erste dieser Rüstungen für die Leibwache des Kaisers.
Equipment/&Enchanted_StuddedLeather_Survival_Title	Nietenleder des Überlebens
Equipment/&Enchanted_Warhammer_Acuteness_Description	Diese verzauberte Waffe wurde mit dem alten Wissen der Meisterschmiede Manacalons geschaffen. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arcaneums, entworfen und ist eines seiner ersten Werke.
Equipment/&Enchanted_Warhammer_Acuteness_Title	Kriegshammer der Schärfe
Equipment/&Enchanted_Warhammer_Bearclaw_Description	Diese verzauberte Waffe wurde nach dem alten Wissen der Meisterschmiede Manacalons geschmiedet. Die scharfen Stacheln der Bärenklaue zerfetzen die Rüstung und fügen zusätzlichen Schaden zu � genau wie von Ildurial Stronghand erwartet, der die erste Waffe dieser Art entworfen hat.
Equipment/&Enchanted_Warhammer_Bearclaw_Title	Bärenklauen-Warhammer
Equipment/&Enchanted_Warhammer_Lightbringer_Description	Diese verzauberte Waffe wurde mit dem uralten Wissen der Meisterschmiede von Colthannin geschmiedet. Sie wurde von Elgador Keenspirit, dem Magierschmied des Arcaneums, entworfen, um den Kampf gegen untote Kreaturen zu unterstützen.
