ActionAffinity/&DHFeeblemindSpellDescription	Unable to cast spells
Equipment/&Enchanted_Scimitar_Warden_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. It was designed by Ildurial Strongarm, a famous Manacalon bladesmith. The first such blade, the Manacalon Warden, was offered to the commander of the Euraidd
Equipment/&Enchanted_Scimitar_Warden_Title	Warden Scimitar
Equipment/&Enchanted_Scimitar_Whiteburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Whiteburn was created by the first Danantar to fight a troll invasion coming from the swamps to the south of his domain between the Sioltafin and the Scarafin
Equipment/&Enchanted_Scimitar_Whiteburn_Title	Whiteburn Scimitar
Equipment/&Enchanted_Shield_Deflection_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_Shield_Deflection_Title	Shield of Deflection
Equipment/&Enchanted_Shield_FlameDancing_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_Shield_FlameDancing_Title	Shield of Flame Dancing
Equipment/&Enchanted_Shield_FrostWalking_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_Shield_FrostWalking_Title	Shield of Frost Walking
Equipment/&Enchanted_Shield_Robustness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_Shield_Robustness_Title	Shield of Robustness
Equipment/&Enchanted_Shield_Sturdiness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_Shield_Sturdiness_Title	Shield of Sturdiness
Equipment/&Enchanted_Shield_Survival_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_Shield_Survival_Title	Shield of Survival
Equipment/&Enchanted_Shield_Wooden_Deflection_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_Shield_Wooden_Deflection_Title	Wooden Shield of Deflection
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Title	Wooden Shield of Flame Dancing
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Title	Wooden Shield of Frost Walking
Equipment/&Enchanted_Shield_Wooden_Robustness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_Shield_Wooden_Robustness_Title	Wooden Shield of Robustness
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Title	Wooden Shield of Sturdiness
Equipment/&Enchanted_Shield_Wooden_Survival_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_Shield_Wooden_Survival_Title	Wooden Shield of Survival
Equipment/&Enchanted_Spear_Acuteness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Spear_Acuteness_Title	Spear of Acuteness
Equipment/&Enchanted_Spear_BlackViper_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths, using a spear and the venom of a legendary spider from Solasta's depths. The blade's designer was Grigg Blackheart, a notorious Marsh halfling smith working in the forges of the Aer Elai
Equipment/&Enchanted_Spear_BlackViper_Title	Black Viper Spear
Equipment/&Enchanted_Spear_Doomblade_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. Kenaloth Darkmind devised the Doomblades as a tool of punishment for those who resisted the magic of the Empire
Equipment/&Enchanted_Spear_Doomblade_Title	Doom Tipped Spear
Equipment/&Enchanted_Spear_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master smiths. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures
Equipment/&Enchanted_Spear_Lightbringer_Title	Lightbringer Spear
Equipment/&Enchanted_Spear_Sharpness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Spear_Sharpness_Title	Spear of Sharpness
Equipment/&Enchanted_Spear_Whiteburn_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Whiteburn was created by the first Danantar to fight a troll invasion coming from the swamps to the south of his domain between the Sioltafin and the Scarafin
Equipment/&Enchanted_Spear_Whiteburn_Title	Whiteburn Spear
Equipment/&Enchanted_StuddedLeather_Deflection_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_StuddedLeather_Deflection_Title	Studded Leather of Deflection
Equipment/&Enchanted_StuddedLeather_FlameDancing_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_StuddedLeather_FlameDancing_Title	Studded Leather of Flame Dancing
Equipment/&Enchanted_StuddedLeather_FrostWalking_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_StuddedLeather_FrostWalking_Title	Studded Leather of Frost Walking
Equipment/&Enchanted_StuddedLeather_Robustness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_StuddedLeather_Robustness_Title	Studded Leather of Robustness
Equipment/&Enchanted_StuddedLeather_Sturdiness_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_StuddedLeather_Sturdiness_Title	Studded Leather of Sturdiness
Equipment/&Enchanted_StuddedLeather_Survival_Description	This enchanted armor was created using the ancient knowledge of Manacalon's master armorers. Ildurial Stronghand forged the first of those armors for the Emperor's personal guard
Equipment/&Enchanted_StuddedLeather_Survival_Title	Studded Leather of Survival
Equipment/&Enchanted_Warhammer_Acuteness_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. Its design was one of the early works of Elgador Keenspirit, Magesmith of the Arcaneum
Equipment/&Enchanted_Warhammer_Acuteness_Title	Warhammer of Acuteness
Equipment/&Enchanted_Warhammer_Bearclaw_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. The sharp spikes of the bear's claw shred armor to inflict additional damage � just as expected by Ildurial Stronghand, who designed the first weapon of this kind
Equipment/&Enchanted_Warhammer_Bearclaw_Title	Bearclaw Warhammer
Equipment/&Enchanted_Warhammer_Lightbringer_Description	This enchanted weapon was forged using the ancient knowledge of Colthannin's master smiths. It was designed by Elgador Keenspirit, Magesmith of the Arcaneum to support combat against undead creatures
Equipment/&Enchanted_Warhammer_Lightbringer_Title	Lightbringer Warhammer
Equipment/&Enchanted_Warhammer_Power_Description	This enchanted weapon was forged using the ancient knowledge of Manacalon's master smiths. Some creatures only respect physical strengths. Manacalon arcanists created this Warhammer to give champions of the Iron Legions the strength their elven bodies didn't provide
Equipment/&Enchanted_Warhammer_Power_Title	Warhammer of Power
Equipment/&Enchanted_Warhammer_Punisher_Description	This enchanted weapon was created using the ancient knowledge of Manacalon's master smiths. The combination of the best metal and Slavestone gave this axe incredible piercing power
Equipment/&Enchanted_Warhammer_Punisher_Title	Punisher Warhammer
Equipment/&HerbalBrewDamageAffinityAcidResistanceDescription	Grants protection to Acid for 1 hour
Equipment/&HerbalBrewDamageAffinityAcidResistanceTitle	Brew of Acid Protection
Equipment/&HerbalBrewDamageAffinityLightningResistanceDescription	Grants protection to Lightning for 1 hour
Equipment/&HerbalBrewDamageAffinityLightningResistanceTitle	Brew of Lightning Protection
Equipment/&HerbalBrewDamageAffinityNecroticResistanceDescription	Grants protection to Necrotic for 1 hour
Equipment/&HerbalBrewDamageAffinityNecroticResistanceTitle	Brew of Necrotic Protection
Equipment/&HerbalBrewDamageAffinityPoisonResistanceDescription	Grants protection to Poison for 1 hour
Equipment/&HerbalBrewDamageAffinityPoisonResistanceTitle	Brew of Poison Protection
Equipment/&HerbalBrewDamageAffinityRadiantResistanceDescription	Grants protection to Radiant for 1 hour
Equipment/&HerbalBrewDamageAffinityRadiantResistanceTitle	Brew of Radiant Protection
Equipment/&HerbalBrewHealingTitle	Brew of Quickening
Equipment/&HerbalBrewToxifyingTitle	Brew of Toxifying
Equipment/&ImprovedLightningSpearDescription	Can now create advantage for allies and disadvantage for enemies with a single attack
Equipment/&ImprovedLightningSpearTitle	Improved Lightning Spear
Equipment/&ImprovedThunderPunchDescription	Can now pull enemies into melee range with a bonus action and inflict 1D8 thunder damage
Equipment/&ImprovedThunderPunchTitle	Improved Thunder Punch
Equipment/&LightningSpearDescription	1d6 lightning damage with 1D6 extra once per turn
Equipment/&LightningSpearTitle	Lightning Spear
Equipment/&LivewoodClubDescription	This club is composed of living wood complete with sprouting leaves and perhaps seasonal blooms. It can be used as a focus for Druidic spell casting
Equipment/&LivewoodClubTitle	Livewood Club
Equipment/&LivewoodStaffDescription	This staff is composed of living wood complete with sprouting leaves and perhaps seasonal blooms. It can be used as a focus for Druidic spell casting
Equipment/&LivewoodStaffTitle	Livewood Staff
Equipment/&ThunderPunchDescription	1D8 thunder damage and imposes disadvantage on attack rolls against allies
Equipment/&ThunderPunchTitle	Thunder Punch
Equipment/&WandIdentifyDescription	Text Casts the spell identify by expending one charge. The wand has 3 charges and regains 1d3 charges each dawn
