ActionAffinity/&DHFeeblemindSpellDescription	Incapable de lancer des sorts
Equipment/&Enchanted_Quarterstaff_Acuteness_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Sa conception est l'une des premières œuvres d'Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Quarterstaff_Acuteness_Title	Bâton d'acuité
Equipment/&Enchanted_Quarterstaff_Dragonblade_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Elle a été conçue par Lestoreth Steelarm pour combattre dans le Nord glacé de l'Empire.
Equipment/&Enchanted_Quarterstaff_Dragonblade_Title	Bâton de Dragonblade
Equipment/&Enchanted_Quarterstaff_Frostburn_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Elle a été conçue par Keliandir Moltenheart, qui a forgé cette arme pour combattre les salamandres après qu'une exploration des plans élémentaires ait mal tourné.
Equipment/&Enchanted_Quarterstaff_Frostburn_Title	Bâton d'artillerie des Brûlures de givre
Equipment/&Enchanted_Quarterstaff_Lightbringer_Description	Cette arme enchantée a été forgée grâce au savoir ancestral des maîtres forgerons de Colthannin. Elle a été conçue par Elgador Keenspirit, Magesmith of the Arcaneum, pour soutenir le combat contre les créatures mortes-vivantes.
Equipment/&Enchanted_Quarterstaff_Lightbringer_Title	Bâton d'artillerie Lightbringer
Equipment/&Enchanted_Quarterstaff_Souldrinker_Description	Cette arme enchantée a été créée grâce au savoir ancestral des maîtres forgerons de Manacalon. Une des favorites des agents du Silent Whisper, cette arme a été conçue par Cylordir Redblade.
Equipment/&Enchanted_Quarterstaff_Souldrinker_Title	Bâton d'archer Souldrinker
Equipment/&Enchanted_Quarterstaff_Stormblade_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Elle a été conçue par Galar Stromforge, le premier forgeron nain à exploiter la puissance de la tempête dans une arme � à l'effet dévastateur !
Equipment/&Enchanted_Quarterstaff_Stormblade_Title	Bâton d'artillerie Stormblade
Equipment/&Enchanted_Quarterstaff_Warden_Description	Cette arme enchantée a été forgée en utilisant le savoir ancien des maîtres forgerons de Manacalon. Elle a été conçue par Ildurial Strongarm, un célèbre forgeron de lames de Manacalon. La première lame de ce type, la Manacalon Warden, a été offerte au commandant des Euraidd.
Equipment/&Enchanted_Quarterstaff_Warden_Title	Bâton de gardien
Equipment/&Enchanted_Quarterstaff_Whiteburn_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Whiteburn a été créée par le premier Danantar pour combattre une invasion de trolls venant des marais au sud de son domaine entre le Sioltafin et le Scarafin.
Equipment/&Enchanted_Quarterstaff_Whiteburn_Title	Bâton d'artillerie Whiteburn
Equipment/&Enchanted_Scimitar_Dragonblade_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Elle a été conçue par Lestoreth Steelarm pour combattre dans le Nord glacé de l'Empire.
Equipment/&Enchanted_Scimitar_Dragonblade_Title	Cimeterre à lame de dragon
Equipment/&Enchanted_Scimitar_Frostburn_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Elle a été conçue par Keliandir Moltenheart, qui a forgé cette arme pour combattre les salamandres après qu'une exploration des plans élémentaires ait mal tourné.
Equipment/&Enchanted_Scimitar_Frostburn_Title	Cimeterre des Brûlures de givre
Equipment/&Enchanted_Scimitar_Lightbringer_Description	Cette arme enchantée a été forgée grâce au savoir ancestral des maîtres forgerons de Colthannin. Elle a été conçue par Elgador Keenspirit, Magesmith of the Arcaneum, pour soutenir le combat contre les créatures mortes-vivantes.
Equipment/&Enchanted_Scimitar_Lightbringer_Title	Cimeterre de l'éclaireur
Equipment/&Enchanted_Scimitar_Souldrinker_Description	Cette arme enchantée a été créée grâce au savoir ancestral des maîtres forgerons de Manacalon. Une des favorites des agents du Silent Whisper, cette arme a été conçue par Cylordir Redblade.
Equipment/&Enchanted_Scimitar_Souldrinker_Title	Cimeterre Souldrinker
Equipment/&Enchanted_Scimitar_Stormblade_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Elle a été conçue par Galar Stromforge, le premier forgeron nain à exploiter la puissance de la tempête dans une arme � à l'effet dévastateur !
Equipment/&Enchanted_Scimitar_Stormblade_Title	Cimeterre de la Tempête
Equipment/&Enchanted_Scimitar_Warden_Description	Cette arme enchantée a été forgée en utilisant les connaissances anciennes des maîtres forgerons de Manacalon. Elle a été conçue par Ildurial Strongarm, un célèbre forgeron de lames de Manacalon. La première lame de ce type, la Manacalon Warden, a été offerte au commandant des Euraidd.
Equipment/&Enchanted_Scimitar_Warden_Title	Cimeterre Warden
Equipment/&Enchanted_Scimitar_Whiteburn_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Whiteburn a été créé par le premier Danantar pour combattre une invasion de trolls venant des marais au sud de son domaine entre le Sioltafin et le Scarafin.
Equipment/&Enchanted_Scimitar_Whiteburn_Title	Cimeterre de Whiteburn
Equipment/&Enchanted_Shield_Deflection_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Deflection_Title	Bouclier de déflection
Equipment/&Enchanted_Shield_FlameDancing_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_FlameDancing_Title	Bouclier de flamme dansant
Equipment/&Enchanted_Shield_FrostWalking_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_FrostWalking_Title	Bouclier de marche de givre
Equipment/&Enchanted_Shield_Robustness_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Robustness_Title	Bouclier de robustesse
Equipment/&Enchanted_Shield_Sturdiness_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Sturdiness_Title	Bouclier de robustesse
Equipment/&Enchanted_Shield_Survival_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Survival_Title	Bouclier de survie
Equipment/&Enchanted_Shield_Wooden_Deflection_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Wooden_Deflection_Title	Bouclier de bois de déflection
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Title	Bouclier de bois de la danse des flammes
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Title	Bouclier de bois de la marche du givre
Equipment/&Enchanted_Shield_Wooden_Robustness_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Wooden_Robustness_Title	Bouclier de bois de la robustesse
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Title	Bouclier de bois de la robustesse
Equipment/&Enchanted_Shield_Wooden_Survival_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_Shield_Wooden_Survival_Title	Bouclier de survie en bois
Equipment/&Enchanted_Spear_Acuteness_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Sa conception est l'une des premières œuvres d'Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Spear_Acuteness_Title	Lance de l'acuité
Equipment/&Enchanted_Spear_BlackViper_Description	Cette arme enchantée a été forgée grâce au savoir ancestral des maîtres forgerons de Manacalon, en utilisant une lance et le venin d'une araignée légendaire des profondeurs de Solasta. Le concepteur de la lame était Grigg Blackheart, un forgeron halfling des Marais notoire travaillant dans les forges d'Aer Elai.
Equipment/&Enchanted_Spear_BlackViper_Title	Lance de la vipère noire
Equipment/&Enchanted_Spear_Doomblade_Description	Cette arme enchantée a été forgée en utilisant le savoir ancestral des maîtres forgerons de Manacalon. Kenaloth Darkmind a conçu les Doomblades comme un outil de punition pour ceux qui résistaient à la magie de l'Empire.
Equipment/&Enchanted_Spear_Doomblade_Title	Lance du destin
Equipment/&Enchanted_Spear_Lightbringer_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres forgerons de Colthannin. Elle a été conçue par Elgador Keenspirit, Magesmith of the Arcaneum, pour soutenir le combat contre les créatures mortes-vivantes.
Equipment/&Enchanted_Spear_Lightbringer_Title	Lance de la lumière
Equipment/&Enchanted_Spear_Sharpness_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Sa conception est l'une des premières œuvres d'Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Spear_Sharpness_Title	Lance d'acuité
Equipment/&Enchanted_Spear_Whiteburn_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Whiteburn a été créée par le premier Danantar pour combattre une invasion de trolls venant des marais au sud de son domaine entre le Sioltafin et le Scarafin.
Equipment/&Enchanted_Spear_Whiteburn_Title	Lance Whiteburn
Equipment/&Enchanted_StuddedLeather_Deflection_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_Deflection_Title	Cuir clouté de déflection
Equipment/&Enchanted_StuddedLeather_FlameDancing_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_FlameDancing_Title	Cuir clouté de la danse des flammes
Equipment/&Enchanted_StuddedLeather_FrostWalking_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_FrostWalking_Title	Cuir clouté de la marche du givre
Equipment/&Enchanted_StuddedLeather_Robustness_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_Robustness_Title	Cuir clouté de la robustesse
Equipment/&Enchanted_StuddedLeather_Sturdiness_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_Sturdiness_Title	Cuir clouté de la robustesse
Equipment/&Enchanted_StuddedLeather_Survival_Description	Cette armure enchantée a été créée en utilisant l'ancien savoir des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_Survival_Title	Cuir clouté de survie
Equipment/&Enchanted_Warhammer_Acuteness_Description	Cette arme enchantée a été créée en utilisant l'ancien savoir des maîtres forgerons de Manacalon. Sa conception est l'une des premières œuvres d'Elgador Keenspirit, Magesmith of the Arcaneum.
