ActionAffinity/&DHFeeblemindSpellDescription	Incapaz de lançar feitiços
Equipment/&Enchanted_Quarterstaff_Dragonblade_Title	Dragão de Lâmina Quarterstaff
Equipment/&Enchanted_Quarterstaff_Frostburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Keliandir Moltenheart, que forjou esta arma para combater salamandras após uma exploração dos aviões elementais que se desviaram.
Equipment/&Enchanted_Quarterstaff_Frostburn_Title	Pessoal da Frostburn Quarterstaff
Equipment/&Enchanted_Quarterstaff_Lightbringer_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Colthannin. Ela foi projetada por Elgador Keenspirit, Magesmith do Arcano para apoiar o combate contra criaturas não-mortas.
Equipment/&Enchanted_Quarterstaff_Lightbringer_Title	Pessoal da Lightbringer Quarterstaff
Equipment/&Enchanted_Quarterstaff_Souldrinker_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Uma das favoritas dos agentes do Silent Whisper, esta arma foi projetada por Cylordir Redblade.
Equipment/&Enchanted_Quarterstaff_Souldrinker_Title	Pedestal Souldrinker
Equipment/&Enchanted_Quarterstaff_Stormblade_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Foi projetada por Galar Stromforge, o primeiro ferreiro anão a aproveitar o poder da tempestade em uma arma � para um efeito devastador!
Equipment/&Enchanted_Quarterstaff_Stormblade_Title	Pessoal do Stormblade Quarterstaff
Equipment/&Enchanted_Quarterstaff_Warden_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Foi projetada por Ildurial Strongarm, um famoso ferreiro Manacalon de lâminas. A primeira dessas lâminas, a Manacalon Warden, foi oferecida ao comandante do Euraidd.
Equipment/&Enchanted_Quarterstaff_Warden_Title	Quartel-general do diretor
Equipment/&Enchanted_Quarterstaff_Whiteburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Whiteburn foi criada pelo primeiro Danantar a combater uma invasão troll vinda dos pântanos ao sul de seu domínio entre os Sioltafin e os Scarafin.
Equipment/&Enchanted_Quarterstaff_Whiteburn_Title	Whiteburn Quarterstaff
Equipment/&Enchanted_Scimitar_Dragonblade_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Lestoreth Steelarm para lutar no Norte congelado do Império.
Equipment/&Enchanted_Scimitar_Dragonblade_Title	Cimitarra de Lâmina de Dragão
Equipment/&Enchanted_Scimitar_Frostburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Ela foi projetada por Keliandir Moltenheart, que forjou esta arma para combater salamandras após uma exploração dos aviões elementais que se desviaram.
Equipment/&Enchanted_Scimitar_Frostburn_Title	Frostburn Scimitar
Equipment/&Enchanted_Scimitar_Lightbringer_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Colthannin. Ela foi projetada por Elgador Keenspirit, Magesmith do Arcano para apoiar o combate contra criaturas não-mortas.
Equipment/&Enchanted_Scimitar_Lightbringer_Title	Cimitarra Lightbringer
Equipment/&Enchanted_Scimitar_Souldrinker_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Uma das favoritas dos agentes do Silent Whisper, esta arma foi projetada por Cylordir Redblade.
Equipment/&Enchanted_Scimitar_Souldrinker_Title	Cimitarra Souldrinker
Equipment/&Enchanted_Scimitar_Stormblade_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Foi projetada por Galar Stromforge, o primeiro ferreiro anão a aproveitar o poder da tempestade em uma arma � para um efeito devastador!
Equipment/&Enchanted_Scimitar_Stormblade_Title	Cimitarra Stormblade
Equipment/&Enchanted_Scimitar_Warden_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Foi projetada por Ildurial Strongarm, um famoso ferreiro Manacalon de lâminas. A primeira dessas lâminas, a Manacalon Warden, foi oferecida ao comandante do Euraidd.
Equipment/&Enchanted_Scimitar_Warden_Title	Cimitarra do diretor
Equipment/&Enchanted_Scimitar_Whiteburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Whiteburn foi criada pelo primeiro Danantar a combater uma invasão troll vinda dos pântanos ao sul de seu domínio entre os Sioltafin e os Scarafin.
Equipment/&Enchanted_Scimitar_Whiteburn_Title	Whiteburn Cimitarra
Equipment/&Enchanted_Shield_Deflection_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_Deflection_Title	Escudo de Deflexão
Equipment/&Enchanted_Shield_FlameDancing_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_FlameDancing_Title	Escudo de Dança de Chama
Equipment/&Enchanted_Shield_FrostWalking_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_FrostWalking_Title	Escudo de Frost Walking
Equipment/&Enchanted_Shield_Robustness_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_Robustness_Title	Escudo de Robustez
Equipment/&Enchanted_Shield_Sturdiness_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_Sturdiness_Title	Escudo de robustez
Equipment/&Enchanted_Shield_Survival_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_Survival_Title	Escudo de Sobrevivência
Equipment/&Enchanted_Shield_Wooden_Deflection_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_Wooden_Deflection_Title	Escudo de deflexão de madeira
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_Wooden_FlameDancing_Title	Escudo de Madeira de Dança de Chama
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_Wooden_FrostWalking_Title	Escudo de madeira de Frost Walking
Equipment/&Enchanted_Shield_Wooden_Robustness_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_Wooden_Robustness_Title	Escudo de Robustez de Madeira
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_Wooden_Sturdiness_Title	Escudo de Robustez de Madeira
Equipment/&Enchanted_Shield_Wooden_Survival_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_Shield_Wooden_Survival_Title	Escudo de Sobrevivência de Madeira
Equipment/&Enchanted_Spear_Acuteness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Spear_Acuteness_Title	Lança de Acuidade
Equipment/&Enchanted_Spear_BlackViper_Description	Esta arma encantada foi forjada usando o conhecimento antigo dos mestres ferreiros de Manacalon, usando uma lança e o veneno de uma aranha lendária das profundezas de Solasta. O projetista da lâmina foi Grigg Blackheart, um notório ferreiro do pântano Marsh halfling que trabalhava nas forjas da Aer Elai.
Equipment/&Enchanted_Spear_BlackViper_Title	Lança da Víbora Negra
Equipment/&Enchanted_Spear_Doomblade_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Kenaloth Darkmind concebeu as Doomblades como uma ferramenta de punição para aqueles que resistiram à magia do Império.
Equipment/&Enchanted_Spear_Doomblade_Title	A Lança Doom Tipped
Equipment/&Enchanted_Spear_Lightbringer_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Colthannin. Ela foi projetada por Elgador Keenspirit, Magesmith do Arcano para apoiar o combate contra criaturas não-mortas.
Equipment/&Enchanted_Spear_Lightbringer_Title	Lança Lightbringer
Equipment/&Enchanted_Spear_Sharpness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Spear_Sharpness_Title	Lança da Nitidez
Equipment/&Enchanted_Spear_Stormblade_Title	Lança Stormblade
Equipment/&Enchanted_Spear_Whiteburn_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Whiteburn foi criada pelo primeiro Danantar a combater uma invasão troll vinda dos pântanos ao sul de seu domínio entre os Sioltafin e os Scarafin.
Equipment/&Enchanted_Spear_Whiteburn_Title	Lança Whiteburn
Equipment/&Enchanted_StuddedLeather_Deflection_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_StuddedLeather_Deflection_Title	Couro de deflexão cravejado
Equipment/&Enchanted_StuddedLeather_FlameDancing_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_StuddedLeather_FlameDancing_Title	Couro de Chama Dançante
Equipment/&Enchanted_StuddedLeather_FrostWalking_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_StuddedLeather_FrostWalking_Title	Couro de congelamento de peles
Equipment/&Enchanted_StuddedLeather_Robustness_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_StuddedLeather_Robustness_Title	Couro de Robustez Estilhaçado
Equipment/&Enchanted_StuddedLeather_Sturdiness_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_StuddedLeather_Sturdiness_Title	Couro de Robustez Estilhaçado
Equipment/&Enchanted_StuddedLeather_Survival_Description	Esta armadura encantada foi criada usando os antigos conhecimentos dos mestres armadores da Manacalon. Ildurial Stronghand forjou a primeira dessas armaduras para a guarda pessoal do Imperador.
Equipment/&Enchanted_StuddedLeather_Survival_Title	Couro de Sobrevivência Estilhaçado
Equipment/&Enchanted_Warhammer_Acuteness_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Seu design foi uma das primeiras obras de Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Warhammer_Acuteness_Title	Martelo de Aquecedor de Acuidade
Equipment/&Enchanted_Warhammer_Bearclaw_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. As pontas afiadas da garra do urso trituram a armadura para infligir danos adicionais �, exatamente como esperado por Ildurial Stronghand, que projetou a primeira arma deste tipo.
Equipment/&Enchanted_Warhammer_Bearclaw_Title	Martelo de Aquecedor de Garras de Urso
Equipment/&Enchanted_Warhammer_Lightbringer_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Colthannin. Ela foi projetada por Elgador Keenspirit, Magesmith do Arcano para apoiar o combate contra criaturas não-mortas.
Equipment/&Enchanted_Warhammer_Lightbringer_Title	Martelo Quente Lightbringer
Equipment/&Enchanted_Warhammer_Power_Description	Esta arma encantada foi forjada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. Algumas criaturas respeitam apenas as forças físicas. Os arcanistas do Manacalon criaram este Martelo de Guerra para dar aos campeões das Legiões de Ferro a força que seus corpos elfos não proporcionavam.
Equipment/&Enchanted_Warhammer_Power_Title	Martelo Quente de Poder
Equipment/&Enchanted_Warhammer_Punisher_Description	Esta arma encantada foi criada usando os antigos conhecimentos dos mestres ferreiros de Manacalon. A combinação do melhor metal e da melhor pedra eslava deu a este machado um poder penetrante incrível.
Equipment/&Enchanted_Warhammer_Punisher_Title	Martelo de Punidor
Equipment/&HerbalBrewQuickeningTitle	Poção de Fermento à Base de Ervas : Poção de Apressurização
